"AMPHETAMINES
(includes both amphetamine and methamphetamine)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,United States of America,1.9,,,2.2,1.7,2013,15-64,ARQ,HHS,z*,Includes prescription stimulants
,,United States of America,1.9,1.6,2.2,,,2012,15-64,ARQ,HHS,z*,Includes prescription stimulants
,,United States of America,1.55,1.3,1.8,,,2011,15-64,ARQ,HHS,z*,
,,United States of America,1.8,,,,,2010,15-64,ARQ ,HHS,,
,South America,Bolivia (Plurinational State of),0.1,,,0.4,0,2014,12-65,ARQ,HHS,,Amphetamine
,,Bolivia (Plurinational State of),0.5,,,0.5,0.4,2007,12-65,ARQ,HHS,,Includes prescription stimulants
,,Brazil,1.23,,,0.78,1.64,2012,15-64,Government source,HHS,,Amphetamine
,,Chile,0.18,,,0.1,,2020,15-64,ARQ,HHS,,"Amphetamine-type stimulants, including non-medical use of pharmaceutical amphetamine-type products, excluding ecstasy"
,,Chile,0.08,,,0.14,0.03,2018,15-64,ARQ,HHS,,Amphetamine
,,Chile,0.18,,,0.25,0.11,2016,15-64,ARQ,HHS,,Amphetamine
,,Chile,0.06,,,0.06,0.06,2014,15-64,ARQ,HHS,,Amphetamines
,,Chile,0.08,,,0.14,0.03,2012,15-64,ARQ,HHS,,Amphetamines
,,Chile,0.27,0.17,0.37,,,2010,15-64,ARQ,HHS,z*,
,,Chile,0.4,,,,,2008,15-64,ARQ ,HHS ,,
,,Colombia,0.06,,,,,2008,12-65,ARQ,HHS,,Includes prescription stimulants
,,Ecuador,0.2,,,,,2007,15-64,ARQ,HHS,z*,
,,Ecuador,0.21,,,,,2005,15-64,UNODC Estimate ,SS,"d, e , z",
,,Paraguay,0.51,,,,,2005,15-64,UNODC Estimate,SS,"d, e, z",
,,Peru,0.2,,,,,2006,12-64,ARQ,HHS,,
,,Suriname,0.5,,,,,2007,12-65,CICAD,HHS,,
,,Suriname,0.6,,,,,2002,15-64,UNODC Estimate ,,"d, e ",
,,Uruguay,0.3,,,0.3,0.2,2018,15-64,ARQ,HHS,,"Amphetamine-type stimulants, including non-medical use of pharmaceutical amphetamine-type products, excluding ecstasy"
,,Uruguay,0.1,,,,,2018,15-65,Government sources,HHS,,Includes amphetamine and methamphetamine
,,Uruguay,0.04,,,,,2014,15-65,ARQ,HHS,z,Includes prescription stimulants
,,Uruguay,0.01,,,,,2011,15-65,ARQ,HHS,,Methamphetamine
,,Uruguay,0.3,,,,,2006,15-64,ARQ ,HHS ,z**,Includes prescription stimulants
,,Venezuela (Bolivarian Republic of),0.095,0.07,0.12,,,2011,15-65,Government source/UNODC Estimate,HHS,,Includes amphetamine and methamphetamine
,,Venezuela (Bolivarian Republic of),0.6,,,,,2002,15-64,UNODC Estimate ,,"d, e ",
Asia,Central Asia and Transcaucasia,Armenia,0.04,,,,,2005,15-64,UNODC Estimate,HHS,,
,,Georgia,0,,,0,0,2015,18-64,ARQ,HHS,,
,,Georgia,0.56,0.1,1.06,,,2009,15-64,Government source/ NGO/Academic research,SS,"b, d, e",
,East and South-East Asia,Brunei Darussalam,0.25,,,,,2006,15-64,UNODC Estimate,,g,
,,Cambodia,0.6,,,,,2004,15-64,UNODC Estimate,,"d, e",
,,China,0.57,,,,,2018,15-64,Academic research,HHS,,Methamphetamine
,,"China, Taiwan Province of China",0.6,,,,,2005,12-64,AMCEWG,,,
,,Indonesia,0.6,0.6,0.6,,,2019,15-64,ARQ/UNODC Estimate,HHS,,Amphetamine and methamphetamine
,,Indonesia,0.52,0.45,0.5800000000000001,,,2017,10-59,UNODC Estimate,HHS,,Estimate for 13 provinces. Includes amphetamine and methamphetamine.
,,Indonesia,0.09,,,0.2,0,2015,10-60,ARQ,HHS,,20 of 34 provinces. Methamphetamine.
,,Indonesia,0.18,,,,,2010,10-60,ARQ,HHS,,
,,Indonesia,0.16,,,,,2008,10-59,ARQ ,HHS ,,
,,Japan,0.04,,,,,2019,15-64,ARQ,HHS,,Methamphetamine
,,Japan,0.3,0.03,0.4,,,2011,15-64,UNODC Estimate,HHS,e,
,,Japan,0.2,0.18,0.22,,,2009,15-64,UNODC Estimate ,HHS ,e ,
,,Lao People's Democratic Republic,1.39,1.07,1.71,,,2008,15-64,Academic research,SS,"a, c, d, e",
,,Malaysia,0.55,,,,,2005,15-64,UNODC Estimate,,"d, g, h",
,,Myanmar,0.22,,,,,2005,15-64,UNODC Estimate,,"d, f",
,,Philippines,1.1,,,,,2016,10-69,ARQ,HHS,,Methamphetamine. Data refers to 2015/16.
,,Philippines,0.74,,,,,2012,10-69,ARQ,HHS,,Methamphetamine. Data refers to 2012/13. 17 of 18 regions.
,,Philippines,2.13,1.91,2.35,,,2008,15-64,Government source,HHS,"c, e",
,,Republic of Korea,0.12,0.08,0.16,,,2004,15-64,ARQ,HHS,"b, c, e",
,,Thailand,1.67,1.3,2.04,,,2019,12-65,Government source/UNODC Estimate,HHS,,Methamphetamine tablets and crystal methamphetamine
,,Thailand,1.4,,,,,2007,12-65,ARQ,HHS,,
,,Viet Nam,0.22,,,,,2003,15-64,UNODC Estimate,,h,
,Near and Middle East/South-West Asia,Afghanistan,0,,,,,2009,15-64,UNODC/Government Source,HHS,,
,,Iran (Islamic Republic of),0.4,,,,,2015,15-64,Government source/UNODC Estimate,HHS,,Methamphetamine
,,Iran (Islamic Republic of),0.77,0.68,0.88,,,2013,18+,Academic/UNODC Estimate,NSUM,a,Methamphetamine
,,Iran (Islamic Republic of),0.7,,,,,2011,15-64,Government source,,,Methamphetamine
,,Israel,0.7,,,1.3,0.1,2016,18-65,ARQ,HHS,,Amphetamine
,,Israel,1.01,,,1.63,0.31,2009,18-40,ARQ,HHS,,
,,Israel,0.4,,,,,2005,18-40,ARQ ,,,
,,Kuwait,0.27,,,,,2005,15-64,UNODC Estimate,,g,
,,Pakistan,0.08,0.04,0.2,0.1,0.14,2012,15-64,Government source/UNODC,HHS/I,z*,Includes prescription stimulants
,,Saudi Arabia,0.4,,,,,2006,15-64,UNODC Estimate,,g,
,South Asia,India,0.18,,,,,2018,10-75,Government source,HHS/I,,
,,Maldives,0.1,,,,,2012,15-64,Government source,HHS,,
Europe,Eastern Europe,Belarus,0.35,,,,,2006,15-64,UNODC Estimate,,g,
,,Republic of Moldova,0.03,0.03,0.04,,,2008,15-64,Government source,HHS,e,
,,Russian Federation,0.39,0.22,0.56,,,2007,15-64,ESPAD/UNODC Estimate,SS,"d, e",Approximate adjustment
,,Ukraine,0.3,0.13,0.48,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Ukraine,0.72,0.19,1.25,,,2011,15-64,ARQ,SS,"d, e",
,,Ukraine,0.39,0.22,0.56,,,2007,15-64,ESPAD ,SS ,"d, e ",
,South-Eastern Europe,Albania,0.1,,,,,2014,15-64,Public health research,HHS,,Amphetamine
,,Albania,0.1,,,0.4,0,2014,15-64,ARQ,HHS,,Amphetamine
,,Albania,0.02,,,,,2004,15-64,ARQ,,,
,,Bosnia and Herzegovina,0.5,0.09,0.91,,,2011,15-64,ARQ,SS,"b, d, e",
,,Bosnia and Herzegovina,1.04,0.37,1.71,,,2008,15-64,ESPAD ,SS ,"c, d, e ",
,,Bulgaria,0.7,,,0.8,0.6,2020,15-64,ARQ,HHS,,Amphetamine and methamphetamine
,,Bulgaria,0.8,0.7,0.9,1,0.55,2016,15-64,UNODC Estimate,HHS,,Amphetamine and methamphetamine
,,Bulgaria,0.65,0.6,0.7,0.85,0.4,2012,15-64,ARQ,HHS,,
,,Bulgaria,0.95,0.9,1,,,2008,15-64,ARQ,HHS,,
,,Bulgaria,0.5,,,,,2007,15-64,ARQ ,"HHS, c ",,
,,Croatia,1.8,,,2.6,1,2019,15-64,ARQ,HHS,,"Amphetamine-type stimulants, including non-medical use of pharmaceutical amphetamine-type products, excluding ecstasy"
,,Croatia,1,,,1.6,0.4,2015,15-64,ARQ,HHS,,Amphetamine
,,Croatia,0.8,,,,,2012,15-64,EMCDDA,HHS,,
,,Croatia,0.7,0.58,0.83,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Montenegro,0.1,,,0.2,0.1,2017,15-64,ARQ,HHS,,"Amphetamine-type stimulants, including non-medical use of pharmaceutical amphetamine-type products, excluding ecstasy"
,,Montenegro,0.66,0.28,1.04,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Montenegro,0.72,0.19,1.25,,,2011,15-64,ESPAD,SS,"d, e",
,,Montenegro,0.45,0.07,0.93,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,North Macedonia,0.06,,,0.08,0.04,2017,15-64,ARQ,HHS,,Amphetamine. UNODC best estimate based on ARQ data on prevalence of male and female
,,North Macedonia,0.33,0.14,0.53,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Romania,0.1,,,0.1,0,2016,15-64,ARQ,HHS,,Amphetamine
,,Romania,0.1,,,0.1,0.1,2013,15-64,ARQ,HHS,,Amphetamine
,,Romania,0.03,,,,,2010,15-64,EMCDDA,HHS,,
,,Romania,0.1,,,,,2004,15-64,UNODC Estimate ,,"d, e ",
,,Serbia,0.2,,,0.2,0.2,2018,15-64,ARQ,HHS,,Amphetamine
,,Serbia,0.1,,,0.2,0.1,2014,18-64,Government sources,HHS,,
,,Serbia,0.24,0.12,0.47,,,2006,15-64,Government sources,HHS,"a, e",
,,Türkiye,0.02,,,0.04,0.01,2018,15-64,ARQ,HHS,,Methamphetamine
,,Türkiye,,,,0.1,,2011,15-64,EMCDDA,HHS,,
,,Türkiye,0.2,,,,,2003,15-64,UNODC Estimate,,,
,Western and Central Europe,Austria,2.31,1.81,2.82,,,2020,15-64,Government source/UNODC estimate,HHS,,Amphetamine and methamphetamine
,,Austria,0.4,0.2,0.6,0.5,0.4,2015,15-64,Government source,HHS,,
,,Austria,0.5,,,,,2008,15-64,Government source,HHS,a,
,,Austria,0.8,,,,,2004,15-64,EMCDDA ,HHS ,,
,,Belgium,0.65,0.5,0.8,,,2018,15-64,ARQ/UNODC Estimate,HHS,,Amphetamine and methamphetamine
,,Belgium,0.2,,,0.3,0.1,2013,15-64,EMCDDA,HHS,,
,,Belgium,0.9,,,1.4,0.4,2008,15-64,ARQ,HHS,,
,,Belgium,0.85,,,,,2007,15-64,ESPAD ,SS ,"c, d, e ",
,,Cyprus,0.1,,,0.2,0,2019,15-64,ARQ,HHS,,Amphetamine
,,Cyprus,0.1,,,0.1,0.1,2016,15-64,ARQ,HHS,,Amphetamine
,,Cyprus,0.3,,,0.5,0.1,2012,15-64,ARQ,HHS,,
,,Cyprus,0.3,,,0.4,0.2,2009,15-64,ARQ,HHS,,
,,Cyprus,0.4,,,0.6,0.1,2006,15-64,ARQ ,,,
,,Czechia,0.5,,,0.5,0.5,2019,15-64,ARQ,HHS,,Amphetamine and methamphetamine
,,Czechia,0.3,,,0.1,0.5,2018,15-64,ARQ,HHS,,Methamphetamine
,,Czechia,0.8,,,0.6,1,2016,15-64,ARQ,HHS,,Methamphetamine
,,Czechia,0.8,,,0.7,1,2015,15-64,ARQ,HHS,,Methamphetamine
,,Czechia,0.8,,,1.4,0.2,2014,15-64,ARQ,HHS,,Methamphetamine
,,Czechia,0.2,0.2,0.2,,,2013,15-64,ARQ,HHS,,
,,Czechia,0.5,,,0.7,0.3,2012,15-64,ARQ,HHS,,
,,Czechia,0.9,,,,,2010,15-64,Government source,HHS,,
,,Czechia,1.7,,,,,2008,15-64,Government source ,HHS ,,
,,Denmark,0.7,,,1.1,0.4,2017,16-64,ARQ,HHS,,Amphetamine
,,Denmark,0.6,,,1,0.3,2013,16-64,ARQ,HHS,,
,,Denmark,0.7,,,,,2010,16-64,ARQ,HHS,,
,,Denmark,1.2,,,,,2008,16-64,ARQ ,HHS ,,
,,Estonia,0.94,,,1.65,0.45,2018,16-64,ARQ,HHS,,Amphetamine
,,Estonia,1,,,1.3,0.8,2008,15-64,ARQ,HHS,,
,,Estonia,1.3,,,,,2003,15-64,ARQ ,HHS ,,
,,Finland,1.7,,,2.5,0.9,2018,15-64,ARQ,HHS,,Amphetamine
,,Finland,1.1,,,1.6,0.6,2014,15-64,ARQ,HHS,,Amphetamine
,,Finland,0.8,,,1.2,0.4,2010,15-64,ARQ,HHS,,
,,Finland,0.6,,,,,2006,15-64,ARQ ,,,
,,France,0.3,,,0.5,0.1,2017,18-64,EMCDDA,HHS,,Amphetamine
,,France,0.3,,,0.4,0.2,2014,15-64,ARQ,HHS,,
,,France,0.2,,,0.3,0.1,2010,15-64,ARQ,,,
,,France,0.2,,,,,2005,15-64,ARQ ,,,
,,Germany,1.2,0.9,1.6,1.5,0.9,2018,18-64,ARQ/Academic source,HHS,,Amphetamine and methamphetamine
,,Germany,1.1,0.8,1.4,1.3,0.8,2015,18-64,ARQ/Academic source,HHS,,Amphetamine and methamphetamine
,,Germany,0.9,,,1.4,0.4,2012,18-64,ARQ,HHS,,Amphetamine and methamphetamine
,,Germany,0.8,,,1.1,0.5,2009,18-64,ARQ,HHS,,Amphetamine and methamphetamine
,,Germany,0.5,,,,,2006,18-64,Government source ,HHS ,,
,,Greece,0,,,0.1,0,2004,15-64,EMCDDA,,,Amphetamine
,,Hungary,0.4,,,0.5,0.3,2019,18-64,ARQ,HHS,,Amphetamine and methamphetamine
,,Hungary,0.45,,,0.82,0.13,2015,18-64,ARQ,HHS,,Amphetamine
,,Hungary,0.5,0.2,0.8,,,2007,18-64,ARQ,HHS,,
,,Iceland,1.4,,,1.8,1,2017,18-64,ARQ,HHS,,Amphetamine
,,Iceland,0.78,0.21,1.34,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Iceland,0.93,0.29,1.57,,,2011,15-64,ESPAD,SS,"d, e",
,,Iceland,0.74,0.58,0.89,,,2003,15-64,ESPAD ,SS ,,
,,Ireland,1,,,1.5,0.5,2019,15-64,ARQ,HHS,,"Amphetamine-type stimulants, including non-medical use of pharmaceutical amphetamine-type products, excluding ecstasy"
,,Ireland,0.3,,,0.5,0.1,2015,15-64,ARQ,HHS,,Amphetamine. Data refers to 2014/15
,,Ireland,0.4,,,0.4,0.4,2011,15-64,ARQ,HHS,,
,,Ireland,0.4,,,,,2007,15-64,Government source ,HHS ,,
,,Italy,0.6,,,0.8,0.4,2017,15-64,ARQ,HHS,,"Amphetamine-type stimulants, including non-medical use of pharmaceutical amphetamine-type products, excluding ecstasy"
,,Italy,0.2,,,0.3,0.1,2013,15-64,ARQ,HHS,,Data refers to 2013/2014
,,Italy,0.09,,,0.09,0.09,2012,15-64,ARQ,HHS,,
,,Italy,0.4,,,,,2008,15-64,EMCDDA,HHS,,
,,Italy,0.4,,,,,2005,15-64,EMCDDA ,HHS ,,
,,Latvia,0.6,,,0.8,0.4,2020,15-64,ARQ,HHS,,"Amphetamine-type stimulants, including non-medical use of pharmaceutical amphetamine-type products, excluding ecstasy"
,,Latvia,0.3,,,0.5,0.2,2015,15-64,ARQ,HHS,,Amphetamine
,,Latvia,0.3,,,0.5,0.1,2011,15-64,ARQ,HHS,,
,,Latvia,0.9,,,,,2007,15-64,ARQ ,,,
,,Lithuania,0.3,,,0.6,0.04,2016,15-64,ARQ,HHS,,Amphetamine
,,Lithuania,0.2,,,0.5,0,2012,15-64,ARQ,HHS,,
,,Lithuania,0.7,,,,,2008,15-64,ARQ,HHS,,
,,Lithuania,0.3,,,,,2004,15-64,ARQ ,HHS ,,
,,Luxembourg,0.15,0.1,0.2,,,2019,15-64,ARQ/UNODC Estimate,HHS,,Amphetamine and methamphetamine
,,Luxembourg,0.06,,,,,2014,15-64,ARQ/Government source,HHS,,
,,Luxembourg,0.73,0.21,1.25,,,2010,15-64,ARQ,SS,d ,
,,Luxembourg,0.98,0.35,1.61,,,2006,15-64,ARQ,SS,d ,Data refers to 2005/06
,,Luxembourg,0.4,,,,,1999,15-64,UNODC Estimate ,,,
,,Malta,0,,,,,2013,15-64,ARQ,HHS,,
,,Malta,0.93,0.29,1.57,,,2011,15-64,ESPAD,SS,"d, e",
,,Malta,0.88,0.59,1.16,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Netherlands,1.6,,,1.8,1.4,2020,15-64,ARQ,HHS,,"Amphetamine-type stimulants, including non-medical use of pharmaceutical amphetamine-type products, excluding ecstasy"
,,Netherlands,2.1,,,2.8,1.4,2019,15-64,EMCDDA,HHS,,
,,Netherlands,1.4,,,1.8,0.9,2018,15-64,EMCDDA,HHS,,
,,Netherlands,1.8,1.4,2.1,2.3,1.2,2017,15-64,EMCDDA,HHS,,
,,Netherlands,1.7,,,2.4,0.9,2016,15-64,EMCDDA,HHS,,
,,Netherlands,1.6,,,2,1.1,2015,15-64,EMCDDA,HHS,,
,,Netherlands,1.3,,,,,2014,16-64,ARQ,HHS,,
,,Netherlands,0.4,,,,,2009,15-64,ARQ,HHS,,
,,Netherlands,0.3,,,,,2005,15-64,ARQ ,HHS ,,
,,Norway,0.6,,,0.9,0.4,2020,16-64,ARQ,HHS,,Amphetamine and methamphetamine
,,Norway,0.3,,,0.5,0.1,2019,16-64,ARQ,HHS,,Includes methamphetamine
,,Norway,0.7,,,1.1,0.1,2018,16-64,ARQ,HHS,,Includes methamphetamine
,,Norway,0.6,,,0.8,0.4,2017,16-64,ARQ,HHS,,Includes methamphetamine
,,Norway,0.3,,,0.3,0.4,2016,16-64,ARQ,HHS,,Amphetamine
,,Norway,0.2,,,0.3,0,2015,16-64,ARQ,HHS,,Amphetamine
,,Norway,0.6,,,0.9,0.2,2014,16-64,ARQ,HHS,,
,,Norway,0.6,,,1.2,0.1,2013,16-64,ARQ,HHS,,
,,Norway,0.7,,,,,2009,15-64,ARQ,HHS,,
,,Norway,1.1,,,,,2004,15-64,ARQ ,HHS ,,
,,Poland,0.8,,,0.9,0.7,2019,15-64,ARQ,HHS,,Data refers to 2018/19
,,Poland,1.7,,,1.8,1.5,2016,15-64,ARQ,HHS,,Amphetamine
,,Poland,0.2,,,0.3,,2014,15-64,ARQ,HHS,,Data refers to 2014/2015
,,Poland,0.6,,,0.8,0.3,2012,15-64,ARQ,HHS,,
,,Poland,1.9,,,,,2010,15-64,ARQ,HHS,,
,,Poland,0.7,,,,,2006,15-64,ARQ ,HHS ,,
,,Portugal,0.01,,,0.01,0,2017,15-64,ARQ,HHS,,Data refers to 2016/2017. Amphetamine.
,,Portugal,0.05,,,0.1,0,2012,15-64,ARQ,HHS,,
,,Portugal,0.2,,,,,2007,15-64,ARQ,HHS,,
,,Slovakia,0.45,0.4,0.5,,,2019,15-64,ARQ/UNODC Estimate,HHS,,Amphetamine and methamphetamine
,,Slovakia,0.4,,,0.7,0.1,2015,15-64,ARQ,HHS,,
,,Slovakia,0.12,,,,,2010,15-64,EMCDDA,HHS,,
,,Slovakia,0.3,,,,,2006,15-64,EMCDDA,HHS,,
,,Slovakia,0.2,,,,,2004,15-64,ARQ ,HHS ,,
,,Slovenia,0.4,0.3,0.6,0.5,0.2,2018,15-64,EMCDDA,HHS,"a, b",Amphetamine and methamphetamine
,,Slovenia,0.3,,,0.5,0.1,2012,15-64,ARQ,HHS,,Amphetamine
,,Slovenia,0.72,0.19,1.25,,,2011,15-64,ESPAD,SS,"d, e",
,,Slovenia,0.51,0.45,0.57,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Spain,0.8,,,1.1,0.5,2020,15-64,ARQ,HHS,,"Survey conducted between February and March 2020. Amphetamine-type stimulants, including non-medical use of pharmaceutical amphetamine-type products, excluding ecstasy"
,,Spain,0.5,0.4,0.6,0.8,0.2,2017,15-64,EMCDDA,HHS,,
,,Spain,0.58,,,0.86,0.31,2015,15-64,Government source/UNODC Estimate,HHS,,Amphetamine and methamphetamine
,,Spain,0.6,,,0.8,0.4,2013,15-64,ARQ,HHS,,
,,Spain,0.6,,,0.9,0.3,2011,15-64,ARQ,HHS,,
,,Spain,0.6,,,,,2009,15-64,ARQ ,HHS ,,
,,Sweden,0.7,,,,,2017,17-64,ARQ,HHS,,
,,Sweden,0.72,,,0.96,0.47,2013,17-64,ARQ,HHS,,
,,Sweden,0.8,,,,,2008,15-64,ARQ,HHS,,
,,Sweden,0.39,,,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Switzerland,0.32,0.3,0.34,,,2016,15-64,UNODC Estimate,HHS,a,"Speed, amphetamine sulphate, crystal meth, other amphetamines"
,,Switzerland,0.43,0.36,0.5,,,2015,15-64,UNODC Estimate,HHS,a,"Speed, amphetamine sulphate, crystal meth, other amphetamines"
,,Switzerland,0.27,,,0.29,0.26,2013,15-64,ARQ,HHS,,
,,Switzerland,0.08,0.08,0.09,,,2012,15+,ARQ,HHS,,
,,Switzerland,0.63,0.57,0.69,,,2007,15-64,ESPAD,SS,"d, e",
,,United Kingdom (England and Wales),0.32,,,0.38,0.26,2019,16-64,ARQ,HHS,,"Amphetamine-type stimulants, including non-medical use of pharmaceutical amphetamine-type products, excluding ecstasy. Data refers to 2019/20. Office for National Statistics (ONS)"
,,United Kingdom (England and Wales),0.57,,,0.76,0.39,2018,16-59,Government source,HHS,,Includes amphetamine and methamphetamine. Data refers to 2018/19. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),0.52,,,0.69,0.34,2017,16-59,Government source,HHS,,Includes amphetamine and methamphetamine. Data refers to 2017/18. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),0.46,,,0.59,0.34,2016,16-59,Government source,HHS,,Includes amphetamine and methamphetamine. Data refers to 2016/17. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),0.61,,,0.82,0.4,2015,16-59,Government source,HHS,,Includes amphetamine and methamphetamine. Data refers to 2015/16. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),0.6,,,0.8,0.4,2014,16-59,ARQ,HHS,,Includes amphetamine and methamphetamine. Data refers to 2014/15. Crime Survey for England and Wales
,,United Kingdom (England and Wales),0.8,,,1.1,0.5,2013,16-59,ARQ,HHS,,Includes amphetamine and methamphetamine. Data refers to 2013/14. Crime Survey for England and Wales. 
,,United Kingdom (England and Wales),0.7,,,0.9,0.4,2012,16-59,Government source,HHS,,Data refers to 2012/13. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),0.8,,,,,2011,16-59,Government source,HHS,,Data refers to 2011/12. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),1.1,,,,,2010,16-59,Government source ,HHS ,,Data refers to 2010/11. Crime Survey for England and Wales.
,,United Kingdom (Northern Ireland),0.5,,,,,2014,15-64,Government source,HHS,,Data refers to 2014/15
,,United Kingdom (Northern Ireland),1.1,,,,,2011,15-64,Government source,HHS,,Data refers to 2010/11
,,United Kingdom (Northern Ireland),1,,,,,2006,15-64,Government source ,HHS ,,
,,United Kingdom (Scotland),0.82,,,1.37,0.29,2014,16-64,Government source,HHS,,Data refers to 2014/15. Amphetamine and crystal methamphetamine
,,United Kingdom (Scotland),0.9,,,1.4,0.3,2013,16-64,Government source,HHS,,Data refers to 2012/13
