"COCAINE
(includes cocaine salt, ""crack"" cocaine and other types such as coca paste, cocaine base, basuco, paco and merla)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Canada,1.1,,,,,2011,15-64,ARQ,HHS,,
,,Canada,0.82,,,,,2010,15-64,ARQ ,HHS ,,
,,Mexico,0.8,0.63,0.97,1.4,0.2,2016,12-65,ARQ/Government source,HHS,,
,,Mexico,0.5,0.35,0.64,0.9,0.1,2011,12-65,Government source (ENA),HHS,,
,,Mexico,0.4,,,,,2008,12-65,Government source,HHS,,
,,United States of America,2.4,,,3.1,1.7,2020,15-64,ARQ,HHS,,
,,United States of America,2.6,,,3.3,1.9,2018,15-64,ARQ,HHS,,Cocaine salts
,,United States of America,2.7,,,3.7,1.8,2017,15-64,ARQ,HHS,,Cocaine salts
,,United States of America,2.4,,,3.1,1.7,2016,15-64,ARQ,HHS,,Cocaine salts
,,United States of America,2.3,,,3,1.6,2015,15-64,ARQ,HHS,,
,,United States of America,2.1,,,2.9,1.5,2014,15-64,ARQ,HHS,,
,,United States of America,2.15,,,3,1.4,2013,15-64,ARQ,HHS,,
,,United States of America,2.3,,,,,2012,15-64,ARQ,HHS,,
,,United States of America,1.9,,,,,2011,15-64,ARQ,HHS,,
,,United States of America,2.2,,,,,2010,15-64,ARQ,HHS,,
,South America,Argentina,1.67,1.6,1.75,,,2017,15-64,UNODC Estimate,HHS,,"Includes cocaine salts and ""paco"" "
,,Argentina,0.73,,,1.26,0.11,2011,16-65,ARQ,HHS,,Does not include crack
,,Argentina,1,,,,,2008,12-65,Government source ,HHS ,,Does not include crack
,,Bolivia (Plurinational State of),0.74,0.62,0.85,1.1,0.43000000000000005,2018,15-64,ARQ/UNODC Estimate,HHS,,Salts and pasta base
,,Bolivia (Plurinational State of),0.36,0.33,0.39,0.48,0.29500000000000004,2014,12-65,UNODC Estimate,HHS,,Salts and pasta base
,,Bolivia (Plurinational State of),0.36,0.33,0.39,,,2013,12-65,UNODC Estimate,HHS,,Salts and pasta base
,,Bolivia (Plurinational State of),0.6,,,0.6,0.5,2007,15-64,ARQ,HHS,,
,,Brazil,2.18,,,3.73,0.74,2012,15-64,Government source,HHS,,Cocaine salts and crack
,,Brazil,0.7,,,,,2005,12-65,Government source ,HHS,c,
,,Chile,0.76,,,1.37,0.17,2020,15-64,ARQ,HHS,,Includes cocaine salts and other smokable forms of cocaine
,,Chile,1.42,,,2.4,0.46,2018,15-64,ARQ,HHS,,"Includes cocaine salts, crack cocaine and ""pasta base"""
,,Chile,1.38,,,2.21,0.55,2016,15-64,ARQ,HHS,,"Cocaine salts, crack and ""pasta base"""
,,Chile,1.73,,,2.85,0.65,2014,15-64,ARQ,HHS,,
,,Chile,1.21,,,1.92,0.51,2012,15-64,ARQ,HHS,,
,,Chile,1.01,,,,,2010,15-64,ARQ,HHS,,
,,Chile,2.4,,,,,2008,15-64,ARQ ,HHS ,,
,,Colombia,0.62,0.57,0.6699999999999999,0.97,0.2,2019,12-65,Government source/ARQ,HHS,,"Cocaine salts and ""basuco"""
,,Colombia,0.7,0.55,0.84,1.23,0.2,2013,12-65,ARQ,HHS,,
,,Colombia,0.72,0.53,0.9,1.28,0.22,2008,12-65,ARQ,HHS,,
,,Colombia,0.8,,,,,2003,18-65,Government source ,,,
,,Ecuador,1.686,0.018,3.354,,,2017,12-65,Government source/UNODC Estimate,SS,d,"Cocaine salts and ""pasta base de cocaina"""
,,Ecuador,0.2,0.14,0.25,,,2007,12-65,ARQ,HHS,,
,,Paraguay,0.25,0.2,0.3,,,2003,12-64,UNODC Estimate,HHS,,
,,Peru,0.964,0.175,1.752,,,2017,15-64,Government source/UNODC Estimate,SS,d,"Cocaine salts and ""pasta base de cocaina"""
,,Peru,0.7,,,,,2010,12-65,Government source,HHS,,
,,Peru,0.48,0.34,0.61,,,2006,15-64,ARQ ,HHS ,,
,,Suriname,0.25,0.2,0.3,,,2013,12-65,UNODC Estimate/ARQ,HHS,,Cocaine salts and crack
,,Suriname,0.3,,,,,2007,12-65,Government source,HHS,,
,,Suriname,0.5,,,,,2002,15-64,UNODC Estimate ,,d ,
,,Uruguay,2.1,,,3.4,0.8,2018,15-65,ARQ,HHS,,Cocaine salts and pasta base
,,Uruguay,1.8,,,2.6,1,2014,15-65,ARQ,HHS,,Cocaine salts and pasta base
,,Uruguay,2.1,,,3.4,0.9,2011,15-65,ARQ,HHS,,Cocaine salts and pasta base
,,Uruguay,1.7,,,,,2006,15-64,ARQ ,HHS ,,
,,Venezuela (Bolivarian Republic of),0.64,,,,,2011,12-65,ARQ,HHS,,
,,Venezuela (Bolivarian Republic of),0.63,,,,,2005,15-64,Government source ,HHS ,,
Asia,Central Asia and Transcaucasia,Armenia,0.1,,,,,2005,15-64,UNODC Estimate,HHS,,
,,Georgia,0,,,0,0,2015,18-64,ARQ,HHS,,
,East and South-East Asia,"China, Taiwan Province of China",0.1,,,,,2005,15-64,AMCEWG,,,
,,Indonesia,0.03,,,0.06,0,2019,15-64,ARQ,HHS,,Cocaine salts
,,Indonesia,0,,,0,0,2015,10-60,ARQ,HHS,,20 of 34 provinces.
,,Indonesia,0.01,,,,,2010,10-60,ARQ,HHS,,
,,Indonesia,0.02,,,,,2008,15-64,ARQ ,HHS ,,
,,Japan,0.03,,,,,2019,15-64,ARQ,HHS,,
,,Japan,0,,,,,2017,15-64,ARQ,HHS,,
,,Philippines,0.07,,,,,2016,10-69,ARQ,HHS,,Data for 2015/16
,,Philippines,0.04,,,,,2012,10-69,ARQ,HHS,,Data refers to 2012/13. 17 of 18 regions.
,,Philippines,0.03,,,,,2005,15-64,UNODC Estimate,HHS,,
,,Republic of Korea,0.03,,,,,2004,15-64,ARQ,HHS,"e, f",
,,Thailand,0.065,,,,,2019,12-65,Government source,HHS,,
,,Thailand,0.05,,,,,2007,15-64,ARQ,HHS,e,
,Near and Middle East/South-West Asia,Afghanistan,0,,,,,2009,15-64,UNODC/ Government source,HHS,,
,,Iran (Islamic Republic of),0.11,0,0.22,,,2011,15-64,Academic source,HHS,,
,,Iran (Islamic Republic of),0.01,0,0.01,,,2008,15-64,Government source,I,"f, g",
,,Israel,0.2,,,0,0.3,2020,18-86,ARQ,HHS,,
,,Israel,0.6,0.5,0.7,,,2016,18-65,UNODC Estimate,HHS,,"Salt and ""crack"""
,,Israel,1.06,0.94,1.19,1.64,0.42,2009,18-40,ARQ,,,
,,Kuwait,0.04,,,,,2005,15-64,UNODC Estimate,,g,
,,Pakistan,0.01,0,0.02,0.01,0,2012,15-64,Government/UNODC,,,
,,Syrian Arab Republic,0,,,,,2005,15-64,UNODC Estimate,,g,
,South Asia,India,0.1,,,0.18,0.01,2018,10-75,Government source,HHS/I,,
,,Maldives,0.04,,,,,2012,15-64,Government source,HHS,,
Europe,Eastern Europe,Belarus,0.06,0.01,0.12,,,2007,15-64,ESPAD,SS,"d, e",
,,Republic of Moldova,0.04,0.02,0.06,,,2008,15-64,Government sources,HHS,e,
,,Russian Federation,0.23,0.16,0.29,,,2007,15-64,ESPAD/UNODC Estimate,SS,"d, e",Appoximate adjustment
,,Ukraine,0.32,0.01,0.62,,,2015,15-64,ESPAD/UNODC Estimate,,"d, e",
,,Ukraine,0.52,0.17,0.86,,,2011,15-64,ESPAD,SS,"d, e",
,,Ukraine,0.23,0.16,0.29,,,2007,15-64,ESPAD ,SS ,"d, e ",
,South-Eastern Europe,Albania,2.5,,,,,2014,15-64,Public health research,HHS,,
,,Albania,2.5,,,4.5,0.5,2014,15-64,ARQ,HHS,,
,,Albania,0.78,0.01,1.62,,,2006,15-64,Government sources,SS,"d, e",
,,Albania,0.08,,,,,2004,15-64,UNODC Estimate ,,e ,
,,Bosnia and Herzegovina,0.63,0.01,1.92,,,2008,15-64,ESPAD,SS,"d, e",
,,Bulgaria,0.6,,,0.7,0.5,2020,15-64,ARQ,HHS,,
,,Bulgaria,0.3,,,0.4,0.2,2016,15-64,ARQ,HHS,,
,,Bulgaria,0.2,,,0.2,0.1,2012,15-64,ARQ,HHS,,
,,Bulgaria,0.6,,,,,2007,15-64,ARQ,HHS,,
,,Bulgaria,0.3,,,,,2005,18-60,ARQ ,HHS ,,
,,Croatia,1.9,,,2.8,0.9,2019,15-64,ARQ,HHS,,
,,Croatia,0.8,,,1.2,0.4,2015,15-64,ARQ,HHS,,Cocaine salt
,,Croatia,0.5,,,,,2012,15-64,EMCDDA,HHS,,
,,Croatia,0.88,0.87,0.89,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Montenegro,1.8,,,2,1.5,2017,15-64,ARQ,HHS,,
,,Montenegro,0.62,0.18,1.06,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Montenegro,0.52,0.17,0.86,,,2011,15-64,ESPAD,SS,"d, e",
,,Montenegro,0.77,0.01,1.71,,,2008,15-64,ESPAD ,SS ,"d, e ",
,,North Macedonia,0.81,,,1.2,0.4,2017,15-64,ARQ,HHS,,UNODC best estimate based on ARQ data on prevalence of male and female
,,North Macedonia,0.34,0.03,0.65,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,North Macedonia,0.08,,,,,2007,15-64,INCSR,,,
,,Romania,0.5,,,0.6,0.4,2019,15-64,ARQ,HHS,,
,,Romania,0.2,,,0.2,0.2,2016,15-64,ARQ,HHS,,
,,Romania,0.2,,,0.2,0.2,2013,15-64,ARQ,HHS,,
,,Romania,0.1,,,,,2010,15-64,ARQ,HHS,,
,,Romania,0.04,,,,,2007,15-64,ARQ ,HHS ,e ,
,,Serbia,0.1,,,0.1,0.1,2018,15-64,ARQ ,HHS ,,
,,Serbia,0.1,,,0.2,0,2014,18-64,Government source,HHS,,
,,Serbia,0.54,0.14,1.18,,,2008,15-64,Government sources,HHS,"a, d, e",
,,Türkiye,0.05,,,0.11,,2018,15-64,ARQ,HHS,,
,,Türkiye,0.05,,,0.11,,2017,15-64,EMCDDA,HHS,,
,,Türkiye,0.04,,,,,2003,15-64,UNODC Estimate,,,
,Western and Central Europe,Austria,2.42,2.02,2.9,,,2020,15-64,Government source,HHS,,
,,Austria,0.4,0.2,0.6,0.4,0.3,2015,15-64,Government source,HHS,,Including crack
,,Austria,0.9,,,,,2008,15-64,ARQ,HHS,,
,,Austria,0.9,,,,,2004,15-64,EMCDDA ,HHS ,,
,,Belgium,1.4,,,2.2,0.4,2018,15-64,ARQ,HHS,,Includes crack
,,Belgium,0.5,,,0.7,0.3,2013,15-64,ARQ,HHS,,
,,Belgium,0.9,,,1.3,0.5,2008,15-64,ARQ,HHS,,
,,Belgium,1.21,,,,,2007,15-64,ESPAD ,SS ,"c, d, e ",
,,Cyprus,0.5,,,0.9,0.1,2019,15-64,ARQ,HHS,,
,,Cyprus,0.2,,,0.4,0,2016,15-64,ARQ,HHS,,
,,Cyprus,0.3,,,0.4,0.2,2012,15-64,ARQ,HHS,,
,,Cyprus,1.2,,,2,0.5,2009,15-64,ARQ,HHS,,
,,Cyprus,0.6,,,1.1,0.1,2006,15-65,ARQ ,,,
,,Czechia,0.5,,,0.2,0.7,2019,15-64,ARQ,HHS,,
,,Czechia,0.1,,,0.1,0.1,2018,15-64,ARQ,HHS,,
,,Czechia,0.1,,,0,0.2,2017,15-64,EMCDDA,HHS,,
,,Czechia,0.3,,,0.4,0.2,2016,15-64,ARQ,HHS,,Cocaine salts
,,Czechia,0.1,,,0,0.2,2015,15-64,ARQ,HHS,,Cocaine salts
,,Czechia,0.2,,,0.5,0,2014,15-64,ARQ,HHS,,Cocaine salts
,,Czechia,0.1,,,0.2,0,2013,15-64,ARQ,HHS,,
,,Czechia,0.4,,,0.8,0,2012,15-64,ARQ,HHS,,
,,Czechia,0.4,,,,,2010,15-64,ARQ,HHS,,
,,Czechia,0.7,,,,,2008,15-64,Government sources ,HHS ,,
,,Denmark,1.6,,,2.6,0.7,2017,16-64,ARQ,HHS,,
,,Denmark,0.9,,,1.5,0.5,2013,16-64,ARQ,HHS,,
,,Denmark,0.9,,,,,2010,16-64,ARQ,HHS,,
,,Denmark,1.4,,,,,2008,16-64,ARQ,HHS,,
,,Estonia,1.03,,,1.32,0.83,2018,16-64,ARQ,HHS,,
,,Estonia,0.6,,,0.8,0.4,2008,15-64,ARQ,HHS,,
,,Estonia,0.6,,,,,2003,15-64,ARQ ,HHS ,,
,,Finland,0.9,,,1.4,0.5,2018,15-64,ARQ,HHS,,Cocaine salts
,,Finland,0.5,,,0.9,0.1,2014,15-64,ARQ,HHS,,Cocaine salts
,,Finland,0.2,,,0.3,0.1,2010,15-64,ARQ,HHS,,
,,Finland,0.5,,,,,2006,15-64,ARQ,,,
,,France,1.7000000000000002,1.6,1.8,2.45,0.95,2017,18-64,ARQ/UNODC estimate,HHS,,"Cocaine salts and ""crack"" cocaine"
,,France,1.1,,,1.4,0.7,2014,15-64,ARQ,HHS,,
,,France,0.88,,,0.88,0.88,2010,15-64,EMCDDA,HHS,,
,,France,0.6,,,,,2005,15-64,ARQ ,,,
,,Germany,1.12,,,1.41,0.82,2018,18-64,ARQ,HHS,,
,,Germany,0.6,0.4,0.9,0.8,0.5,2015,18-64,ARQ/Academic,HHS,,Includes crack
,,Germany,0.8,,,1.3,0.3,2012,18-64,ARQ,HHS,,cocaine and crack
,,Germany,0.8,,,1.2,0.4,2009,18-64,ARQ,HHS,,
,,Germany,0.7,,,,,2006,18-64,Government source ,HHS ,,
,,Greece,0.4,,,0.5,0.3,2015,18-64,ARQ,HHS,,
,,Greece,0.1,,,0.1,0.1,2004,15-64,EMCDDA,,,
,,Hungary,0.3,,,0.5,0.3,2019,18-64,ARQ,HHS,,Cocaine hydrocloride and crack
,,Hungary,0.31,,,0.5,0.14,2015,18-64,ARQ,HHS,,
,,Hungary,0.2,0,0.4,,,2007,18-64,ARQ,HHS,,
,,Iceland,1.06,0.29,1.83,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Iceland,0.92,0.35,1.5,,,2011,15-64,ESPAD,SS,"d, e",
,,Iceland,0.88,0.87,0.89,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Ireland,2.4,2.3,2.5,,,2019,15-64,ARQ/UNODC Estimate,HHS,,"Cocaine salts and ""crack"" cocaine"
,,Ireland,1.5,,,2.6,0.5,2015,15-64,ARQ,HHS,,Data for 2014-15.
,,Ireland,1.5,,,2.3,0.7,2011,15-64,ARQ,HHS,,
,,Ireland,1.7,,,,,2007,15-64,Government source ,HHS ,,
,,Italy,1.21,,,1.46,0.95,2017,15-64,ARQ,HHS,,
,,Italy,1.1,,,1.4,0.7,2013,15-64,ARQ,HHS,,Data refers to 2013-14
,,Italy,0.6,,,1.01,0.25,2012,15-64,ARQ,HHS,,
,,Italy,2.1,,,,,2008,15-64,EMCDDA,HHS,,
,,Italy,2.1,,,,,2005,15-64,EMCDDA ,HHS ,,
,,Latvia,1.3,,,1.7,0.9,2020,15-64,ARQ,HHS,,Cocaine hydrochloride
,,Latvia,0.5,,,0.8,0.3,2015,15-64,ARQ,HHS,,Only cocaine salts
,,Latvia,0.2,,,0.4,0.1,2011,15-64,ARQ,HHS,,
,,Latvia,0.5,,,,,2007,15-64,ARQ ,HHS ,,
,,Lithuania,0.1,,,0.3,0.04,2016,15-64,ARQ,HHS,,
,,Lithuania,0.2,,,0.3,0,2012,15-64,ARQ,HHS,,
,,Lithuania,0.2,,,,,2008,15-64,ARQ,HHS,,
,,Lithuania,0.3,,,,,2004,15-64,ARQ ,,d ,
,,Luxembourg,0.5,,,0.7,0.3,2019,15-64,ARQ,HHS,,
,,Luxembourg,0.4,,,,,2014,15-64,ARQ/Government source,HHS,,
,,Luxembourg,1.04,0.3,1.8,,,2010,15-64,ARQ,SS,d,
,,Luxembourg,0.9,,,,,2003,15-64,UNODC Estimate,,,
,,Malta,0.5,,,,,2013,15-64,ARQ,HHS,,
,,Malta,1.78,0.69,2.86,,,2011,15-64,ESPAD,SS,"d, e",
,,Malta,1.11,1.07,1.15,,,2007,18-65,ESPAD ,SS ,"d, e ",
,,Netherlands,2.1,,,2.5,1.7,2020,15-64,ARQ,HHS,,
,,Netherlands,2.3,,,3.4,1.3,2019,15-64,EMCDDA,HHS,,
,,Netherlands,2,,,2.7,1.3,2018,15-64,EMCDDA,HHS,,
,,Netherlands,2.2,1.9,2.6,3,1.4,2017,15-64,EMCDDA,HHS,,
,,Netherlands,2,,,3,1,2016,15-64,EMCDDA,HHS,,
,,Netherlands,1.9,,,2.8,1,2015,15-64,EMCDDA,HHS,,
,,Netherlands,1.6,,,2.2,1,2014,15-64,ARQ,HHS,,
,,Netherlands,1.2,,,,,2009,15-64,ARQ,HHS,,
,,Netherlands,0.6,,,,,2005,15-64,ARQ ,,,
,,Norway,0.8,,,1.2,0.4,2020,16-64,ARQ,HHS,,Cocaine hydrochloride
,,Norway,1.2,,,1.6,0.8,2019,16-64,ARQ,HHS,,
,,Norway,1.2,,,2.1,0.2,2018,16-64,ARQ,HHS,,
,,Norway,1.1,,,1.4,0.7,2017,16-64,ARQ,HHS,,
,,Norway,0.6,,,1,0.3,2016,16-64,ARQ,HHS,,
,,Norway,1,,,1.7,0.3,2015,16-64,ARQ,HHS,,Cocaine salts
,,Norway,1,,,1.6,0.3,2014,16-64,ARQ,HHS,,
,,Norway,0.9,,,1.6,0.2,2013,16-64,ARQ,HHS,,
,,Norway,0.4,,,,,2009,15-64,ARQ,HHS,,
,,Norway,0.8,,,,,2004,15-64,ARQ ,,,
,,Poland,0.3,,,0.3,0.2,2019,15-64,ARQ,HHS,,Data refers to 2018/19
,,Poland,1.4,,,1.4,1.5,2016,15-64,ARQ,HHS,,
,,Poland,0.2,,,0.4,,2014,15-64,ARQ,HHS,,Data refers to 2014/15
,,Poland,0.2,,,0.3,,2012,15-64,ARQ,HHS,,
,,Poland,0.7,,,,,2010,15-64,ARQ,HHS,,
,,Poland,0.2,,,,,2006,16-64,ARQ ,,,
,,Portugal,0.2,,,0.3,0.1,2017,15-64,ARQ,HHS,,Data refers to 2016/2017. Cocaine salts
,,Portugal,0.2,,,0.3,0.1,2012,15-64,ARQ,HHS,,
,,Portugal,0.6,,,,,2007,15-64,ARQ,HHS,,
,,Slovakia,0.1,,,0.3,,2019,15-64,ARQ,HHS,,
,,Slovakia,0.1,,,0.3,0,2015,15-64,ARQ,HHS,,
,,Slovakia,0.2,,,,,2010,15-64,EMCDDA,HHS,,
,,Slovakia,0.6,,,,,2006,15-64,ARQ,HHS,,
,,Slovenia,0.8,0.6,1,1,0.5,2018,15-64,EMCDDA,HHS,"a, b",
,,Slovenia,0.5,,,0.7,0.3,2012,15-64,ARQ,HHS,,
,,Slovenia,0.6,,,,,2008,15-64,ARQ,HHS,e,
,,Slovenia,0.88,,,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Spain,2.5,,,4.1,1,2020,15-64,ARQ,HHS,,Survey conducted between February and March 2020. 
,,Spain,2.2,2,2.4,3.4,1,2017,15-64,EMCDDA,HHS,,
,,Spain,2,,,3.1,0.9,2015,15-64,ARQ,HHS,,
,,Spain,2.2,,,3.3,1,2013,15-64,ARQ,HHS,,
,,Spain,2.3,,,3.6,0.9,2011,15-64,ARQ,HHS,,
,,Spain,2.7,,,4.2,1,2009,15-64,ARQ ,HHS ,,
,,Sweden,1.2,,,,,2017,17-64,ARQ,HHS,,
,,Sweden,0.6,,,0.8,0.4,2013,15-64,EMCDDA,HHS,,
,,Sweden,0.5,,,,,2008,15-64,ARQ,HHS,,
,,Switzerland,0.81,,,,,2016,15-64,Government source,HHS,a,
,,Switzerland,0.66,,,,,2015,15-64,ARQ,HHS,a,Cocaine salts
,,Switzerland,0.5,,,0.7,0.3,2014,15-64,ARQ,HHS,,
,,Switzerland,0.5,,,0.5,0.4,2013,15-64,ARQ,HHS,,
,,Switzerland,0.4,,,,,2012,15+,ARQ,HHS,,
,,Switzerland,0.5,,,,,2011,15-64,ARQ,HHS,,
,,Switzerland,0.2,,,,,2007,15-64,ARQ ,HHS ,,
,,United Kingdom (England and Wales),2.4,,,3.17,1.64,2019,16-64,ARQ,HHS,,Data refers to 2019/20. Office for National Statistics (ONS)
,,United Kingdom (England and Wales),2.92,,,4.1,1.76,2018,16-59,Government source,HHS,,Data refers to 2018/19. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),2.67,,,3.76,1.59,2017,16-59,Government source,HHS,,Data refers to 2017/18. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),2.32,,,3.34,1.31,2016,16-59,Government source,HHS,,Data refers to 2016/17. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),2.25,,,3.33,1.18,2015,16-59,Government source,HHS,,Data refers to 2015/16. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),2.4,,,3.5,1.3,2014,16-59,Government source,HHS,,Data refers to 2014/15. Crime Survey for England and Wales
,,United Kingdom (England and Wales),2.4,,,3.3,1.4,2013,16-59,Government source,HHS,,Data refers to 2013/14. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),2,,,2.8,1.1,2012,16-59,Government source,HHS,,Data refers to 2012/13
,,United Kingdom (England and Wales),2.2,,,,,2011,16-59,Government source,HHS,,Data refers to 2011/12
,,United Kingdom (England and Wales),2.2,,,,,2010,16-59,Government source ,HHS ,,Data refers to 2010/11
,,United Kingdom (Northern Ireland),1.8,,,,,2014,15-64,Government source,HHS,,Data refers to 2014/15
,,United Kingdom (Northern Ireland),1.5,,,,,2011,15-64,Government source,HHS,,Data refers to 2010/11
,,United Kingdom (Northern Ireland),1.9,,,,,2006,15-64,Government source ,HHS ,,
,,United Kingdom (Scotland),2.34,,,3.82,0.9,2014,16-64,Government source,HHS,,Data refers to 2014/15
,,United Kingdom (Scotland),2.2,,,3.3,1.1,2012,16-64,Government source,HHS,,Data refers to 2012/13
,,United Kingdom (Scotland),2.4,,,,,2011,16-64,Government source,HHS,,Data refers to 2010/11
,,United Kingdom (Scotland),2.7,,,,,2010,16-64,Government source ,HHS ,,Data refers to 2009/10
Oceania,Australia and New Zealand,Australia,4.2,,,5.5,3,2019,14+,ARQ,HHS,,
,,Australia,2.5,,,3.1,2,2016,14+,ARQ,HHS,,
,,Australia,2.1,,,2.9,1.4,2013,14+,ARQ,HHS,,
,,Australia,2.1,,,,,2010,14+,ARQ,HHS,,
,,Australia,1.9,,,,,2007,15-64,Government source ,HHS ,,
,,New Zealand,0.6,0.3,0.8,0.9,0.3,2008,16-64,Government source,HHS,,Cocaine/crack
,,New Zealand,0.76,,,,,2006,15-64,ARQ ,HHS ,a ,
