"OPIATES 
(also includes problem opiate users)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Honduras,0.15,,,,,2005,15-64,UNODC Estimate,HHS,e,Opiates
,,Nicaragua,0.02,,,,,2006,12-65,CICAD/MEM,HHS,,Opiates
,North America,Bermuda,0.15,0.1,0.2,,,2009,16-65,Government source,HHS,,
 ,,Mexico,0.1,,,0.1,,2016,12-65,Government source,HHS,,Heroin only
,,Mexico,0.18,0.1,0.26,,,2011,12-65,Government source,HHS,,
,,Mexico,0.04,,,,,2008,12-65,ARQ ,HHS,,
,,United States of America ,0.937,0.757,1.117,,,2020,15-64,UNODC Estimate,HHS/I,,"Heroin. Estimate aggregating chronic heroin users (ONDCP,RAND) and survey-based data (NSDUH)."
,,United States of America,0.91,0.74,1.08,,,2018,15-64,UNODC Estimate,HHS/I,,"Heroin. Estimate aggregating chronic heroin users (ONDCP,RAND) and survey-based data (NSDUH)."
,,United States of America,0.974,0.787,1.161,,,2017,15-64,UNODC Estimate,HHS/I,,"Heroin. Estimate aggregating chronic heroin users (ONDCP,RAND) and survey-based data (NSDUH)."
,,United States of America,1.04,0.841,1.24,,,2016,15-64,UNODC Estimate,HHS/I,,"Heroin. Estimate aggregating chronic heroin users (ONDCP,RAND) and survey-based data (NSDUH)."
,,United States of America,0.931,0.753,1.11,,,2015,15-64,UNODC Estimate,HHS/I,,"Heroin. Estimate aggregating chronic heroin users (ONDCP,RAND) and survey-based data (NSDUH)."
,,United States of America,0.756,0.606,0.905,,,2013,15-64,UNODC Estimate,HHS/I,,"Heroin. Estimate aggregating chronic heroin users (ONDCP,RAND) and survey-based data (NSDUH)."
,,United States of America,0.73,0.588,0.872,,,2010,15-64,UNODC Estimate,HHS/I,,"Heroin. Estimate aggregating chronic heroin users (ONDCP,RAND) and survey-based data (NSDUH)."
,South America,Argentina,0.07,0.05,0.09,,,2010,15-64,UNODC Estimate,,e,
,,Argentina,0.13,0.09,0.17,,,2007,15-64,UNODC Estimate ,,e ,
,,Bolivia (Plurinational State of),0.07,,,,,2004,15-64,UNODC Estimate,,,
,,Brazil,0.2,,,0.1,0.3,2012,15-64,Government source,HHS,,Heroin
,,Chile,0,,,0,0,2018,15-64,ARQ,HHS,,Heroin
,,Chile,0,,,0,0,2016,15-64,ARQ,HHS,,
,,Chile,0.02,,,0.05,0,2014,15-64,ARQ,HHS,,
,,Chile,0.02,,,,,2010,15-64,ARQ,HHS,,
,,Chile,0.1,,,,,2008,15-64,HHS ,HHS ,,
,,Colombia,0.02,0.01,0.03,0.02,0.01,2019,12-65,Government source,HHS,,Heroin
,,Colombia,0.03,,,,,2013,12-65,Government source,HHS,,Opiates
,,Colombia,0.02,,,,,2008,12-64,ARQ,HHS,,
,,Colombia,0.02,,,,,2004,15-64,UNODC Estimate ,,,
,,Ecuador,0.01,,,,,2013,12-65,ARQ,HHS,,Heroin
,,Ecuador,0.03,,,0.01,,2013,12-65,ARQ,HHS,,Opium
,,Ecuador,0.07,0.06,0.08,,,2007,12-65,ARQ,HHS,,
,,Ecuador,0.12,,,,,2005,15-64,UNODC Estimate ,,e ,
,,Paraguay,0.03,,,,,2003,12-65,ARQ,HHS,e,Opiates
,,Peru,0.18,,,,,2005,12-64,UNODC Estimate,,,Opiates
,,Uruguay,0.4,,,,,2018,18-65,CICAD OAS/Government sources,I,,Prevalence of heroin use among pasta base users. Respond Driven Sampling method. 
,,Uruguay,0.06,0.02,0.1,,,2011,15-64,UNODC Estimate,HHS,e,
,,Uruguay,0.1,,,,,2006,15-64,UNODC Estimate,HHS ,e ,
,,Venezuela (Bolivarian Republic of),0.03,,,,,2011,12-65,ARQ,HHS,,Opiates
,,Venezuela (Bolivarian Republic of),0.1,,,,,2003,15-64,ARQ ,SS ,"a, d, e ",
Asia,Central Asia and Transcaucasia,Armenia,0.2,0.17,0.24,,,2007,15-64,Government source,,,
,,Azerbaijan,1.5,1.28,1.72,,,2010,15-64,Government report,I,,Problem opiate users
,,Azerbaijan,0.2,,,,,2008,15-64,ARQ ,I ,,
,,Georgia,0.72,0.71,0.74,,,2010,15-64,Academic Research,I,,
,,Georgia,0.31,,,,,2006,15-64,UNODC Estimate ,I,,
,,Kazakhstan,1.03,0.97,1.08,,,2015,15-64,UNODC Estimate,I,k,Heroin. Benchmark multipliers.
,,Kazakhstan,0.89,,,,,2006,15-64,UNODC (GAP survey),I,,
,,Kyrgyzstan,0.89,0.82,0.96,,,2015,15-64,UNODC Estimate,I,k,Heroin. Benchmark multipliers.
,,Kyrgyzstan,0.74,,,,,2006,15-64,UNODC (GAP survey),I,,
,,Tajikistan,0.52,0.51,0.52,,,2015,15-64,UNODC Estimate,I,k,Heroin. Benchmark multipliers.
,,Tajikistan,0.54,,,,,2006,15-64,UNODC (GAP survey),I,,
,,Turkmenistan,0.32,,,,,2007,15-64,ARQ,,,
,,Uzbekistan,0.93,0.78,1.08,,,2015,15-64,UNODC Estimate,I,k,Heroin. Benchmark multipliers.
,,Uzbekistan,0.78,,,,,2006,15-64,UNODC (GAP survey),I,,
,East and South-East Asia,Cambodia,0.04,,,,,2007,15-64,Government source,I,,Problem opiate users
,,Cambodia,0.03,,,,,2004,15-64,INCSR/ Reference Group to the UN on HIV and IDU ,I ,,
,,China,0.19,0.13,0.25,,,2012,15-64,UNAIDS,I,,Problem opiate users
,,China,0.25,0.19,0.31,,,2005,15-64,Academic research/ Reference Group to the UN on HI,I,,Problem opiate users
,,"China, Taiwan Province of China",0.2,,,,,2005,12-64,Government source,,,Opiates
,,Indonesia,0.07,0.07,0.07,,,2019,15-64,ARQ/UNODC Estimate,HHS,,Heroin and opium
,,Indonesia,0.01,,,,,2014,15-64,ARQ,I,,Problem opiate users
,,Indonesia,0.11,,,,,2010,15-64,ARQ,I,,Problem opiate users
,,Indonesia,0.16,,,,,2005,15-64,ARQ ,,,Problem opiate users
,,Japan,0.04,,,,,2019,15-64,ARQ ,HHS,,Heroin
,,Lao People's Democratic Republic,0.37,,,,,2008,15-64,UNODC (ICMP),HHS,"a, c",Opiates
,,Malaysia,0.94,,,,,2009,15-64,SMART,I,,Problem opiate users
,,Myanmar,0.8,0.7,0.9,,,2010,15-64,UNODC (ICMP),HHS,"a,c",Opiates
,,Philippines,0.04,0.03,0.04,,,2011,15-64,Government report,I,,Problem opiate users
,,Philippines,0.01,,,,,2008,10-64,ARQ,HHS,,
,,Republic of Korea,0,,,,,2004,15-64,ARQ,HHS,"a,e",
,,Singapore,0.32,0.27,0.37,,,2010,15-64,UNODC Estimate,I,,
,,Singapore,0.01,,,,,2006,15-64,ARQ ,R ,,Opiates
,,Thailand,0.2,,,,,2007,15-64,ARQ,HHS,,Opiates
,,Viet Nam,0.53,,,,,2011,15-64,Government source,I,,Problem opiate users
,,Viet Nam,0.27,0.25,0.28,,,2005,15-64,INCSR/ Reference Group to the UN on HIV and IDU,,,
,Near and Middle East/South-West Asia,Afghanistan,2.65,2.34,2.96,3.9,1.3,2009,15-64,UNODC/ Government source,HHS,,
,,Iran (Islamic Republic of),3.31,,,,,2015,15-64,Government source/UNODC Estimate,HHS,,"Heroin, opium, opium remnant and opium residue"
,,Iran (Islamic Republic of),2.69,2.02,3.37,,,2013,18+,Academic/UNODC Estimate,NSUM,a,"Opium, opium residue and heroin"
,,Iran (Islamic Republic of),1.76,1.38,2.14,,,2011,15-64,Government source,,,Opium and heroin
,,Iran (Islamic Republic of),2.26,,,,,2010,15-64,ARQ,,,Opiates
,,Israel,0.4,0.3,0.5,,,2016,18-65,UNODC Estimate,HHS,,Opium and heroin
,,Israel,0.53,0.46,0.59,0.92,0.13,2009,18-40,ARQ,HHS,,
,,Kuwait,0.17,,,,,2004,15-64,UNODC Estimate,,,Opiates
,,Lebanon,0.2,,,,,2003,15-64,ARQ,,,Opiates
,,Pakistan,1,0.7,1.5,1.8,0.04,2012,15-64,Government/UNODC,,,
,,Pakistan,0.57,,,,,2006,15-64,UNODC (GAP survey) ,,,
,,Saudi Arabia,0.06,,,,,2006,15-64,UNODC Estimate,,,Opiates
,,Syrian Arab Republic,0.02,,,,,2005,,UNODC Estimate,,,Opiates
,,United Arab Emirates,0.02,,,,,2004,15-64,UNODC Estimate,,,Opiates
,South Asia,Bangladesh,0.37,,,,,2003,15-64,ARQ,HHS,"a, e",
,,India,1.42,,,,,2018,10-75,Government source,HHS/I,,Includes heroin and opium
,,Maldives,1.34,,,,,2012,15-64,Government source,HHS,,Includes prescription opioids
,,Nepal,0.391,,,,,2019,15-50,Government source/UNODC Estimate,HHS,e,Opiates
,,Nepal,0.24,0.18,0.29,,,2006,15-64,Government source,"I, b",,Problem opiate users
,,Sri Lanka,0.61,,,1.24,0.02,2019,15-64,ARQ,HHS,,Heroin
,,Sri Lanka,0.6,,,1.2,0.017,2018,14+,Government source,,,Heroin
,,Sri Lanka,0.3,0.28,0.32,,,2016,15-64,Government source,I,"g,h",
,,Sri Lanka,0.33,0.33,0.33,,,2010,15-64,ARQ,I,,Opiates
,,Sri Lanka,0.11,,,,,2006,15-64,ARQ ,,,Opiates
Europe,Eastern Europe,Belarus,0.765,,,,,2016,15-64,ARQ,I,,Problem opiate users
,,Belarus,0.59,,,,,2011,15-64,UNODC Estimate,I,"h,g",Problem opiate users
,,Belarus,0.39,0.07,0.67,,,2007,15-64,UNODC Estimate ,R ,"h,g ",
,,Republic of Moldova,0.12,,,,,2011,15-64,ARQ,I,,Problem opiate users
,,Republic of Moldova,0.15,0.15,0.17,,,2008,15-64,Government source,"R, HHS",e,Opiates
,,Russian Federation,1.4,1.4,1.4,,,2010,15-64,Government source,I,,"Number of persons in treatment for heroin use disorders, adjusted with a (latency) multiplier of 5."
,,Russian Federation,1.64,,,,,2007,15-64,UNODC Estimate ,I ,,Opiates
,,Ukraine,1.05,0.88,1.23,,,2012,15-64,Government source,I,,Problem opiate users
,,Ukraine,0.91,,,,,2009,15-64,ARQ,I,,Problem opiate users
,,Ukraine,1.16,,,,,2006,15-64,Reference Group to the UN on HIV and IDU ,I ,,
,South-Eastern Europe,Albania,0.45,,,,,2007,15-64,ARQ,R,"h,g",Problem opiate users
,,Bosnia and Herzegovina,0.3,,,,,2009,15-64,ARQ,I,,Problem opiate users
,,Bosnia and Herzegovina,0.3,,,,,2005,15-64,Reference Group to the UN on HIV and IDU ,I ,,Problem opiate users
,,Bulgaria,0.37,,,,,2017,15-64,ARQ,I,,Problem opiate users
,,Bulgaria,0.5,,,,,2011,15-64,ARQ,I,,Opiates
,,Bulgaria,0.29,,,,,2008,15-64,ARQ ,I ,,
,,Croatia,0.35,,,,,2012,15-64,ARQ,I,,Problem opiate users
,,Croatia,0.36,0.32,0.4,,,2010,15-64,EMCDDA,I,,Problem opiate users
,,Croatia,0.36,,,,,2006,15-64,ARQ ,I ,,
,,North Macedonia,0.4,0.4,0.5,,,2005,15-64,ARQ,,x,Includes prescription opioids
,,Romania,0.3,,,0.2,0.5,2019,15-64,ARQ,HHS,,Heroin
,,Romania,0.167,,,,,2016,15-64,ARQ,I,,Problem opiate users
,,Romania,0.11,,,,,2011,15-64,ARQ,I,,Problem opiate users
,,Serbia,0.1,,,0.1,0.1,2018,15-64,ARQ,HHS,,Heroin
,,Serbia,0.1,,,0.1,0,2014,18-64,Government sources,HHS,,
,,Serbia,0.28,0.18,0.38,,,2008,15-64,ARQ,I,,Problem opiate users
,,Türkiye,0.03,,,0.05,,2018,15-64,ARQ,HHS,,Heroin
,,Türkiye,0.03,0.02,0.05,,,2011,15-64,EMCDDA,I,,Problem opiate users
,,Türkiye,0.03,0.03,0.03,,,2010,15-64,EMCDDA,I,,Problem opiate users
,,Türkiye,0.05,,,,,2008,15-64,EMCDDA ,I ,,Problem opiate users
,Western and Central Europe,Austria,0.539,0.52,0.55,,,2019,15-64,EMCDDA,I,,Problem opioid users
,,Austria,0.628,0.608,0.648,,,2017,15-64,EMCDDA,,,Problem opioid users
,,Cyprus,0.179,0.147,0.221,,,2016,15-64,ARQ,I,,Problem opiate users
,,Cyprus,0.246,0.193,0.324,,,2015,15-64,EMCDDA,I,,Problem opiate users
,,Cyprus,0.18,0.15,0.24,,,2014,15-64,EMCDDA,I,,Problem opiate users
,,Cyprus,0.15,0.12,0.21,,,2013,15-64,EMCDDA,I,,Problem opiate users
,,Cyprus,0.12,0.1,0.15,,,2012,15-64,EMCDDA,I,,Problem opiate users
,,Czechia,0.1,,,0.2,0,2019,15-64,ARQ,HHS,,Heroin
,,Czechia,0.2,,,0.1,0.2,2018,15-64,ARQ,HHS,,Heroin
,,Czechia,0.2,,,0.4,0.1,2016,15-64,ARQ,HHS,,Heroin
,,Denmark,0.1,,,0.1,0,2017,16-24,ARQ,HHS,,Heroin
,,Denmark,0.52,0.49,0.55,,,2009,15-64,Government source,I,,Problem opiate users
,,Denmark,0.6,,,,,2005,15-64,ARQ,I,,
,,Estonia,0.04,,,0.11,0,2018,16-64,ARQ,HHS,,Heroin
,,Finland,0.1,,,0.1,,2018,15-64,ARQ,HHS,,Heroin
,,Finland,0.1,,,0.1,0.1,2014,15-64,ARQ,HHS,,Heroin
,,France,0.317,0.309,0.325,,,2019,15-64,EMCDDA,I,,Problem heroin users
,,France,0.2,,,0.3,0.1,2017,15-64,ARQ,HHS,,Heroin
,,France,0.52,,,,,2011,15-64,ARQ,I,,Problem opiate users
,,France,0.36,,,,,2010,15-64,UNODC Estimate,I,,
,,Germany,0.22,,,,,2014,15-64,ARQ,I,,Problem opiate users
,,Germany,0.21,,,,,2013,15-64,Government source,I,,Problem opiate users
,,Germany,0.23,,,,,2012,18-64,ARQ,I,,Problem opiate users
,,Greece,0.216,0.179,0.266,,,2019,15-64,EMCDDA,I,,Main substance of use: heroin
,,Greece,0.197,0.163,0.243,,,2018,15-64,EMCDDA,I,,Problem opiate users
,,Greece,0.21,0.18,0.247,,,2017,15-64,EMCDDA,I,,Problem opiate users
,,Greece,0.246,0.211,0.29,,,2016,15-64,ARQ,I,,Problem opiate users
,,Greece,0.227,,,,,2015,15-64,ARQ,I,,Problem opiate users
,,Greece,0.24,0.21,0.28,,,2014,15-64,EMCDDA,I,,Problem opiate users
,,Greece,0.22,0.2,0.26,,,2013,15-64,EMCDDA,I,,Problem opiate users
,,Greece,0.23,0.26,0.32,,,2012,15-64,EMCDDA,I,,Problem opiate users
,,Hungary,0.2,,,0.3,0.1,2019,18-64,ARQ,HHS,,Heroin
,,Hungary,0.13,,,0.17,0,2015,18-64,ARQ,HHS,,Includes poppy tea
,,Hungary,0.05,0.04,0.05,,,2011,15-64,EMCDDA,I,,Problem opiate users
,,Hungary,0.05,,,,,2009,15-64,ARQ,I,,
,,Ireland,0.618,0.609,0.698,,,2014,15-64,ARQ,I,,Problem opiate users
,,Ireland,0.72,0.62,0.81,,,2006,15-64,EMCDDA,I,,Problem opiate users
,,Ireland,0.5,,,,,2001,15-64,ARQ,I,,
,,Italy,0.756,0.723,0.79,,,2019,15-64,EMCDDA,I,,Problem heroin users
,,Italy,0.685,0.654,0.716,,,2018,15-64,EMCDDA,I,,Problem heroin users
,,Italy,0.57,,,,,2017,15-64,UNODC Estimate/ARQ,I,,Problem heroin users
,,Italy,0.524,0.459,0.587,,,2015,15-64,EMCDDA,I,,Problem heroin users
,,Italy,0.52,0.46,0.58,,,2014,15-64,EMCDDA,I,,Problem heroin users
,,Italy,0.8,,,1.1,0.6,2013,15-64,Government source,HHS,,Data refers to 2013/14. Problem opiate users.
,,Latvia,0.568,0.465,0.702,,,2017,15-64,ARQ/EMCDDA,I,,Problem opiate users
,,Latvia,0.49,0.41,0.59,,,2016,15-64,Government source,I,,Problem opiate users
,,Latvia,0.47,0.34,0.75,,,2014,15-64,EMCDDA,I,,Problem opiate users
,,Latvia,0.62,0.42,1,,,2013,15-64,EMCDDA,I,,Problem opiate users
,,Latvia,0.49,0.5,0.36,,,2012,15-64,EMCDDA,I,,
,,Liechtenstein,0.2,,,,,2005,15-64,ARQ,SS,"a, b",Mainly opiates
,,Lithuania,0.24,0.23,0.24,,,2007,15-64,EMCDDA,I,,Problem opiate users
,,Lithuania,0.1,,,,,2006,15-64,Government source,I,,Problem opiate users
,,Luxembourg,0.446,,,,,2015,15-64,EMCDDA,I,,Problem opiate users
,,Luxembourg,0.59,,,,,2007,15-64,ARQ/EMCDDA,I,,Problem heroin users
,,Luxembourg,0.93,,,,,2000,15-64,EMCDDA,I,,
,,Malta,0.61,,,,,2016,15-64,ARQ,I,,Daily heroin users
,,Malta,0.59,,,,,2015,15-64,ARQ,I,,Daily heroin users
,,Malta,0.57,0.53,0.62,,,2014,15-64,EMCDDA,I,,Problem opiate users
,,Malta,0.62,0.58,0.66,,,2012,15-64,EMCDDA,I,,Problem opiate users
,,Netherlands,0.13,0.11,0.15,,,2012,15-64,EMCDDA,I,,Problem opiate users
,,Netherlands,0.16,,,,,2008,15-64,EMCDDA,I,,
,,Norway,0.27,,,,,2013,15-64,ARQ,I,,Problem opiate users
,,Norway,0.3,0.21,0.39,,,2008,15-64,EMCDDA,I,,Problem opiate users
,,Poland,1.7,,,1.8,1.5,2016,15-64,ARQ,HHS,,"Includes ""Kompot"""
,,Poland,0.06,,,,,2014,15-64,ARQ,I,,Problem opiate users
,,Poland,0.1,,,,,2013,15-64,ARQ,I,,Problem opiate users
,,Poland,0.1,,,0.1,0.1,2012,15-64,ARQ,HHS,,Problem opiate users
,,Poland,0.3,,,,,2010,15-64,ARQ,HHS,,"Includes ""Kompot"""
,,Portugal,0.45,0.3,0.7,,,2018,15-64,EMCDDA,I,,Problem opiates use
,,Portugal,0.52,0.38,0.76,,,2015,15-64,Government source,I,,Problem opiate users. Continental Portugal only
,,Portugal,0.49,0.42,0.55,,,2012,15-64,EMCDDA,I,,Problem opiate users
,,Portugal,0.38,,,,,2007,15-64,ARQ,I,,Problem opiate users
,,Slovakia,0.1,,,0.1,0,2019,15-64,ARQ,HHS,,Heroin
,,Slovakia,0.13,0.1,0.25,,,2008,15-64,EMCDDA,I,,Problem opiate users
,,Slovakia,0.3,,,,,2006,15-64,ARQ,HHS,,
,,Slovenia,0.358,0.315,0.416,,,2017,15-64,EMCDDA,,,"Problem opioid users: heroin, methadone, buprenorhine, other opioids"
,,Slovenia,0.49,0.43,0.58,,,2012,15-64,EMCDDA,I,,Problem opiate users
,,Slovenia,0.44,0.4,0.48,,,2011,15-64,EMCDDA,I,,Problem opiate users
,,Spain,0.21,0.14,0.28,,,2018,15-64,Government source,I,,Problem heroin users
,,Spain,0.23,0.15,0.29,,,2017,15-64,ARQ/Government source,I,,Problem heroin users
,,Spain,0.221,0.149,0.293,,,2016,15-64,ARQ,I,,Problem heroin users
,,Spain,0.227,0.155,0.299,,,2015,15-64,ARQ,I,,Problem heroin users
,,Spain,0.21,0.158,0.263,,,2014,15-64,ARQ,I,,Problem heroin users
,,Spain,0.21,0.16,0.25,,,2013,15-64,ARQ/Government source,I,,Problem opiate users
,,Spain,0.21,0.17,0.26,,,2012,15-64,Government source,I,,Problem opiate users
,,Switzerland,0.43,0.39,0.47,,,2015,15-64,Government source,I,,Opiates
,,United Kingdom (England and Wales),0.74,0.73,0.77,,,2016,15-64,Government source,I,,Data refers to 2016/17 for England. Problem opiate users.
,,United Kingdom (England and Wales),0.76,0.75,0.79,,,2015,15-64,Government source,I,,Data refers to 2014/15 for England and Wales. Problem opiate users.
,,United Kingdom (England and Wales),0.73,0.72,0.76,,,2011,15-64,EMCDDA/UNODC Estimate,I,,Data refers to 2011/12. Problem opiate users. Includes data for 2009/10 for Wales
,,United Kingdom (England and Wales),0.75,0.73,0.78,,,2010,15-64,EMCDDA/UNODC Estimate,I,,Data refers to 2010/11. Problem opiate users. Includes data for 2009/10 for Wales
,,United Kingdom (Northern Ireland),0.12,0.12,0.17,,,2004,15-64,EMCDDA,I,,
,,United Kingdom (Scotland),1.51,1.47,1.57,2.19,0.86,2012,15-64,"Information Services Division, Scotland",I,,Data refers to 2012/13. Estimated as 90% of opiate and benzodiazepine users DORIS
,,United Kingdom (Scotland),1.52,1.49,1.56,,,2009,15-64,EMCDDA/UNODC Estimate,I,,Data refers to 2009/10. Problem opiate users
Oceania,Australia and New Zealand,Australia,0.1,,,,,2019,14+,Govenment source,HHS,,Heroin. Values under 'Best' rounded to 2 decimal places.
,,Australia,0.2,,,,,2016,14+,ARQ,HHS,,Heroin
,,Australia,0.1,,,0.2,0.1,2013,14+,ARQ,HHS,,
,,Australia,0.2,,,,,2010,15-64,ARQ,HHS,a,
,,Australia,0.2,,,,,2007,15-64,ARQ ,HHS ,a ,
,,New Zealand,0.1,0.1,0.3,,,2008,16-64,Government source,HHS,x,"Heroin, opium, homebake"
,,New Zealand,0.42,,,,,2006,15-45,ARQ,,,
"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.
The data from household surveys and indirect estimates of problem opiate users is not comparable.

Method: HHS=Household survey, SS=School survey, A=Adjusted from other sources, I=Indirect estimates, R=Registry.

Note: According to the Government of Canada, while prescription opioid use in Canada is reportable (see Table on Prescription opioids), other opioid use was not reportable in 2011, 2012 and 2013; data on heroin and opium use based on the household survey is not reportable and the Government of Canada does not report an estimate based on indirect methods.

UNODC Adjustments: a=adjusted for age (15-64), b=population-based/household-type study/survey, c=adjusted from a limited geographic population-based study/survey, d=adjusted from school/youth survey, e=adjusted from lifetime/monthly prevalence adjusted to annual prevalence, f=adjusted from specialized population surveys (including Rapid Assessments), g=adjusted from treatment data, h=adjusted from drug registries, i=adjusted from HIV, problematic drug users (only for heroin), j=lifetime prevalence reported, k=adjusted from multiple benchmark indicators, x=figure may include non-medical use of prescription opioids, z=figures may also include other non-ATS stimulants, z*= figures include the use of prescription stimulants, (non-prescription/non-therapeutic use).  

The 'Method' and 'Adjustment/notes' columns have been completed only for more recent data included in previous and present issues of the World Drug Report. ",,,,,,,,,,,,,
