Region,SubRegion,Country/Territory,Type of offence,Year,Drugs,Total,Males,Females,Unknown/Other/ Third/Intersex,Adults,Juveniles,Specify year
Asia,Near and Middle East/ South-West Asia,Iraq,Other drug-related offences,2020,All illicit drugs,507.0,499.0,8.0,,489.0,18.0,
Africa,East Africa,Kenya,Offences related to drug trafficking,2020,All illicit drugs,536.0,,,,,,
Africa,East Africa,Kenya,Offences related to drug use and/or drug possession,2020,All illicit drugs,2787.0,,,,,,
Africa,East Africa,Kenya,Other drug-related offences,2020,All illicit drugs,90.0,,,,,,
Europe,Western and Central Europe,Italy,Offences related to drug trafficking,2020,All illicit drugs,31330.0,28890.0,2440.0,,30415.0,915.0,
Europe,Western and Central Europe,Italy,Offences related to drug use and/or drug possession,2020,All illicit drugs,31016.0,28818.0,2198.0,,28114.0,2902.0,
Europe,Western and Central Europe,Italy,Other drug-related offences,2020,All illicit drugs,5.0,4.0,1.0,,5.0,,
Europe,Western and Central Europe,Malta,Offences related to drug trafficking,2020,All illicit drugs,117.0,96.0,21.0,,117.0,,
Europe,Western and Central Europe,Malta,Offences related to drug use and/or drug possession,2020,All illicit drugs,166.0,138.0,28.0,,156.0,10.0,
Africa,East Africa,Mauritius,Offences related to drug trafficking,2020,All illicit drugs,1598.0,1498.0,99.0,,1576.0,21.0,
Africa,East Africa,Mauritius,Offences related to drug use and/or drug possession,2020,All illicit drugs,1773.0,1721.0,52.0,,1759.0,14.0,
Africa,East Africa,Mauritius,Other drug-related offences,2020,All illicit drugs,17.0,12.0,5.0,,17.0,0.0,
Asia,Near and Middle East/ South-West Asia,Qatar,Offences related to drug trafficking,2020,All illicit drugs,394.0,389.0,5.0,,394.0,,
Asia,Near and Middle East/ South-West Asia,Qatar,Offences related to drug use and/or drug possession,2020,All illicit drugs,3492.0,3316.0,176.0,,3492.0,,
Asia,East and South-East Asia,Republic of Korea,Offences related to drug use and/or drug possession,2020,All illicit drugs,12209.0,8933.0,3263.0,,11955.0,241.0,
Europe,Eastern Europe,Republic of Moldova,Offences related to drug trafficking,2020,All illicit drugs,178.0,163.0,15.0,,174.0,4.0,
Europe,Eastern Europe,Republic of Moldova,Offences related to drug use and/or drug possession,2020,All illicit drugs,453.0,425.0,28.0,,445.0,8.0,
Europe,Eastern Europe,Republic of Moldova,Other drug-related offences,2020,All illicit drugs,26.0,24.0,2.0,,25.0,1.0,
Europe,Eastern Europe,Russian Federation,Offences related to drug trafficking,2020,All illicit drugs,83137.0,74674.0,8463.0,,81438.0,1699.0,
Europe,Eastern Europe,Russian Federation,Offences related to drug use and/or drug possession,2020,All illicit drugs,60835.0,56375.0,4460.0,,59811.0,1024.0,
Europe,South-Eastern Europe,Serbia,Offences related to drug trafficking,2020,All illicit drugs,1367.0,,,,1336.0,31.0,
Europe,South-Eastern Europe,Serbia,Offences related to drug use and/or drug possession,2020,All illicit drugs,5112.0,,,,4917.0,195.0,
Europe,South-Eastern Europe,Serbia,Other drug-related offences,2020,All illicit drugs,70.0,,,,61.0,9.0,
Europe,Western and Central Europe,Slovakia,Offences related to drug trafficking,2020,All illicit drugs,896.0,,,,,,
Europe,Western and Central Europe,Slovakia,Offences related to drug use and/or drug possession,2020,All illicit drugs,1355.0,,,,1304.0,51.0,
Europe,Western and Central Europe,Slovakia,Other drug-related offences,2020,All illicit drugs,676.0,,,,,,
Europe,Western and Central Europe,Slovenia,Offences related to drug trafficking,2020,All illicit drugs,1396.0,1397.0,132.0,,1584.0,73.0,
Europe,Western and Central Europe,Slovenia,Offences related to drug use and/or drug possession,2020,All illicit drugs,3791.0,3400.0,391.0,,3359.0,430.0,
Europe,Western and Central Europe,Slovenia,Other drug-related offences,2020,All illicit drugs,111.0,97.0,14.0,,88.0,23.0,
Asia,Central Asia and Transcaucasia,Tajikistan,Offences related to drug trafficking,2020,All illicit drugs,619.0,600.0,,,619.0,1.0,
Asia,Central Asia and Transcaucasia,Tajikistan,Offences related to drug use and/or drug possession,2020,All illicit drugs,91.0,88.0,3.0,,90.0,,
Asia,Central Asia and Transcaucasia,Tajikistan,Other drug-related offences,2020,All illicit drugs,90.0,90.0,,,90.0,,
Europe,South-Eastern Europe,Turkey,Offences related to drug trafficking,2020,All illicit drugs,59186.0,,,,,,
Europe,South-Eastern Europe,Turkey,Offences related to drug use and/or drug possession,2020,All illicit drugs,167531.0,,,,,,
Europe,South-Eastern Europe,Turkey,Other drug-related offences,2020,All illicit drugs,4935.0,,,,,,
Asia,Central Asia and Transcaucasia,Uzbekistan,Offences related to drug trafficking,2020,All illicit drugs,4291.0,4052.0,239.0,,4269.0,22.0,
Africa,Southern Africa,Zambia,Offences related to drug trafficking,2020,All illicit drugs,4080.0,3819.0,261.0,,3815.0,265.0,
Africa,Southern Africa,Zambia,Offences related to drug use and/or drug possession,2020,All illicit drugs,135.0,133.0,2.0,,114.0,21.0,
Africa,Southern Africa,Zambia,Other drug-related offences,2020,All illicit drugs,120.0,117.0,3.0,,120.0,0.0,
Asia,South Asia,Bhutan,Offences related to drug trafficking,2020,All illicit drugs,260.0,239.0,21.0,,256.0,4.0,
Asia,South Asia,Bhutan,Offences related to drug use and/or drug possession,2020,All illicit drugs,3.0,2.0,1.0,,3.0,,
Asia,South Asia,Bhutan,Other drug-related offences,2020,All illicit drugs,788.0,734.0,54.0,,663.0,125.0,
Europe,Western and Central Europe,Cyprus,Offences related to drug trafficking,2020,All illicit drugs,265.0,171.0,5.0,,250.0,15.0,
Europe,Western and Central Europe,Cyprus,Offences related to drug use and/or drug possession,2020,All illicit drugs,713.0,702.0,100.0,,646.0,67.0,
Americas,South America,Ecuador,Offences related to drug trafficking,2020,All illicit drugs,487.0,451.0,36.0,,,,
Americas,South America,Ecuador,Offences related to drug use and/or drug possession,2020,All illicit drugs,11426.0,9457.0,1969.0,,,,
Asia,East and South-East Asia,Malaysia,Offences related to drug trafficking,2020,All illicit drugs,23536.0,21569.0,1967.0,,685.0,22851.0,
Asia,East and South-East Asia,Malaysia,Offences related to drug use and/or drug possession,2020,All illicit drugs,56271.0,53013.0,3258.0,,2775.0,53496.0,
Asia,East and South-East Asia,Malaysia,Other drug-related offences,2020,All illicit drugs,66238.0,62470.0,3768.0,,2718.0,63520.0,
Asia,Near and Middle East/ South-West Asia,Israel,Other drug-related offences,2020,All illicit drugs,1821.0,1649.0,172.0,,1779.0,42.0,
Asia,Near and Middle East/ South-West Asia,Oman,Offences related to drug trafficking,2020,All illicit drugs,292.0,287.0,5.0,,,,
Asia,Near and Middle East/ South-West Asia,Oman,Offences related to drug use and/or drug possession,2020,All illicit drugs,1343.0,1318.0,25.0,,,,
Asia,Near and Middle East/ South-West Asia,Oman,Other drug-related offences,2020,All illicit drugs,296.0,293.0,3.0,,,,
Americas,South America,Peru,Offences related to drug trafficking,2020,All illicit drugs,2433.0,,,,2301.0,132.0,
Europe,Western and Central Europe,United Kingdom of Great Britain and Northern Ireland,Offences related to drug trafficking,2020,All illicit drugs,771.0,,,,,,2020/21 financial year
Europe,Western and Central Europe,United Kingdom of Great Britain and Northern Ireland,Offences related to drug use and/or drug possession,2020,All illicit drugs,32679.0,,,,,,2020/21 financial year
Europe,Western and Central Europe,United Kingdom of Great Britain and Northern Ireland,Other drug-related offences,2020,All illicit drugs,145142.0,,,,,,2020/21 financial year
Asia,South Asia,Sri Lanka,Offences related to drug trafficking,2020,All illicit drugs,9336.0,9231.0,105.0,,,,
Asia,East and South-East Asia,Timor-Leste,Offences related to drug trafficking,Other,All illicit drugs,5.0,3.0,2.0,,4.0,1.0,2019 and 2020
Asia,East and South-East Asia,Timor-Leste,Other drug-related offences,Other,All illicit drugs,1.0,1.0,,,1.0,,2019 and 2020
Americas,Caribbean,Trinidad and Tobago,Offences related to drug trafficking,2020,All illicit drugs,418.0,376.0,42.0,,379.0,9.0,
Americas,Caribbean,Trinidad and Tobago,Offences related to drug use and/or drug possession,2020,All illicit drugs,938.0,872.0,66.0,,873.0,6.0,
Americas,Central America,Costa Rica,Offences related to drug trafficking,2020,All illicit drugs,992.0,855.0,137.0,,,,
Asia,East and South-East Asia,"China, Macao SAR",Offences related to drug trafficking,2020,All illicit drugs,119.0,86.0,33.0,,113.0,6.0,
Asia,East and South-East Asia,"China, Macao SAR",Offences related to drug use and/or drug possession,2020,All illicit drugs,33.0,21.0,12.0,,33.0,,
Asia,East and South-East Asia,"China, Macao SAR",Other drug-related offences,2020,All illicit drugs,2.0,2.0,,,2.0,,
Europe,South-Eastern Europe,Croatia,Offences related to drug trafficking,2020,All illicit drugs,1149.0,1074.0,75.0,,1117.0,32.0,
Europe,South-Eastern Europe,Croatia,Offences related to drug use and/or drug possession,2020,All illicit drugs,6573.0,5946.0,627.0,,6391.0,182.0,
Asia,Near and Middle East/ South-West Asia,Pakistan,Offences related to drug trafficking,2020,All illicit drugs,73295.0,,,,73295.0,,
Asia,Central Asia and Transcaucasia,Kazakhstan,Offences related to drug trafficking,2020,All illicit drugs,821.0,731.0,90.0,,815.0,6.0,
Asia,Central Asia and Transcaucasia,Kazakhstan,Offences related to drug use and/or drug possession,2020,All illicit drugs,4133.0,4071.0,62.0,,4123.0,10.0,
Asia,Central Asia and Transcaucasia,Kazakhstan,Other drug-related offences,2020,All illicit drugs,389.0,379.0,10.0,,389.0,0.0,
Asia,East and South-East Asia,Singapore,Offences related to drug use and/or drug possession,2020,All illicit drugs,3056.0,2527.0,529.0,,2898.0,158.0,
Asia,Near and Middle East/ South-West Asia,State of Palestine,Offences related to drug trafficking,2020,All illicit drugs,217.0,215.0,2.0,,174.0,5.0,
Asia,Near and Middle East/ South-West Asia,State of Palestine,Offences related to drug use and/or drug possession,2020,All illicit drugs,1933.0,1913.0,20.0,,1558.0,48.0,
Asia,Near and Middle East/ South-West Asia,State of Palestine,Other drug-related offences,2020,All illicit drugs,109.0,108.0,1.0,,91.0,3.0,
Europe,Western and Central Europe,Germany,Offences related to drug trafficking,2020,All illicit drugs,48273.0,43460.0,4813.0,,33395.0,14878.0,
Europe,Western and Central Europe,Germany,Offences related to drug use and/or drug possession,2020,All illicit drugs,254773.0,221192.0,33581.0,,180747.0,74026.0,
Europe,Western and Central Europe,Germany,Other drug-related offences,2020,All illicit drugs,1022.0,802.0,220.0,,807.0,215.0,
Europe,Eastern Europe,Belarus,Offences related to drug trafficking,2020,All illicit drugs,3541.0,2490.0,210.0,,2454.0,36.0,
Europe,Eastern Europe,Belarus,Offences related to drug use and/or drug possession,2020,All illicit drugs,397.0,356.0,41.0,,378.0,19.0,
Europe,Eastern Europe,Belarus,Other drug-related offences,2020,All illicit drugs,519.0,511.0,8.0,,495.0,24.0,
Americas,South America,Brazil,Offences related to drug trafficking,2020,All illicit drugs,1645.0,,,,1627.0,,
Americas,South America,Colombia,Offences related to drug trafficking,2020,All illicit drugs,38876.0,34618.0,4258.0,,36988.0,1888.0,
Americas,South America,Colombia,Other drug-related offences,2020,All illicit drugs,403.0,385.0,18.0,,400.0,3.0,
Asia,East and South-East Asia,"China, Hong Kong SAR",Offences related to drug trafficking,2020,All illicit drugs,1824.0,1505.0,319.0,,1506.0,318.0,
Asia,East and South-East Asia,"China, Hong Kong SAR",Offences related to drug use and/or drug possession,2020,All illicit drugs,1763.0,1562.0,201.0,,1609.0,154.0,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2020,All illicit drugs,29.0,26.0,3.0,,29.0,0.0,
Europe,Western and Central Europe,Latvia,Offences related to drug trafficking,2020,All illicit drugs,536.0,561.0,75.0,,506.0,30.0,
Europe,Western and Central Europe,Latvia,Offences related to drug use and/or drug possession,2020,All illicit drugs,1073.0,944.0,129.0,,1008.0,65.0,
Europe,Western and Central Europe,Latvia,Other drug-related offences,2020,All illicit drugs,63.0,55.0,8.0,,62.0,1.0,
Americas,Central America,Guatemala,Offences related to drug trafficking,2020,All illicit drugs,781.0,,,,767.0,14.0,
Americas,Central America,Guatemala,Offences related to drug use and/or drug possession,2020,All illicit drugs,2028.0,1821.0,207.0,,1911.0,117.0,
Europe,Western and Central Europe,Gibraltar,Offences related to drug trafficking,2020,All illicit drugs,38.0,34.0,4.0,,71.0,0.0,
Europe,Western and Central Europe,Gibraltar,Offences related to drug use and/or drug possession,2020,All illicit drugs,510.0,478.0,32.0,,562.0,32.0,
Europe,Western and Central Europe,Gibraltar,Other drug-related offences,2020,All illicit drugs,0.0,0.0,0.0,,0.0,0.0,
Americas,Caribbean,Haiti,Offences related to drug trafficking,2020,All illicit drugs,146.0,129.0,17.0,,,,
Europe,Western and Central Europe,Ireland,Other drug-related offences,2020,All illicit drugs,1063.0,956.0,107.0,,968.0,95.0,
Europe,Western and Central Europe,Lithuania,Other drug-related offences,2020,All illicit drugs,2103.0,1933.0,170.0,,1975.0,128.0,
Americas,South America,Paraguay,Offences related to drug trafficking,2020,All illicit drugs,337.0,274.0,63.0,,293.0,11.0,
Asia,East and South-East Asia,Philippines,Offences related to drug trafficking,2020,All illicit drugs,109.0,104.0,5.0,,109.0,,
Europe,Western and Central Europe,Spain,Offences related to drug trafficking,2020,All illicit drugs,24114.0,20897.0,3217.0,,23175.0,939.0,
Europe,Western and Central Europe,Spain,Offences related to drug use and/or drug possession,2020,All illicit drugs,337772.0,,,,,,
Europe,Eastern Europe,Ukraine,Offences related to drug trafficking,2020,All illicit drugs,234.0,,,,234.0,0.0,
Europe,Eastern Europe,Ukraine,Offences related to drug use and/or drug possession,2020,All illicit drugs,28204.0,,,,27941.0,263.0,
Europe,Eastern Europe,Ukraine,Other drug-related offences,2020,All illicit drugs,27970.0,,,,27707.0,263.0,
Oceania,Australia and New Zealand,Australia,Offences related to drug trafficking,2020,All illicit drugs,18602.0,14468.0,4052.0,82.0,17933.0,573.0,
Oceania,Australia and New Zealand,Australia,Offences related to drug use and/or drug possession,2020,All illicit drugs,114438.0,83707.0,28517.0,2214.0,104804.0,7457.0,
Oceania,Australia and New Zealand,Australia,Other drug-related offences,2020,All illicit drugs,9258.0,6383.0,2543.0,332.0,8226.0,725.0,
Europe,Western and Central Europe,Austria,Offences related to drug trafficking,2020,All illicit drugs,3788.0,3080.0,392.0,316.0,3352.0,120.0,
Europe,Western and Central Europe,Austria,Offences related to drug use and/or drug possession,2020,All illicit drugs,36505.0,28849.0,5636.0,2020.0,29224.0,5261.0,
Europe,Western and Central Europe,Belgium,Offences related to drug trafficking,2020,All illicit drugs,13116.0,11329.0,1220.0,567.0,12024.0,1092.0,
Europe,Western and Central Europe,Belgium,Offences related to drug use and/or drug possession,2020,All illicit drugs,39995.0,35487.0,3280.0,1228.0,36543.0,3452.0,
Europe,Western and Central Europe,Belgium,Other drug-related offences,2020,All illicit drugs,1379.0,1122.0,205.0,52.0,1259.0,120.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug trafficking,2020,All illicit drugs,1243.0,981.0,262.0,0.0,1235.0,8.0,
Americas,South America,Bolivia (Plurinational State of),Offences related to drug use and/or drug possession,2020,All illicit drugs,64.0,60.0,4.0,0.0,61.0,3.0,
Americas,South America,Bolivia (Plurinational State of),Other drug-related offences,2020,All illicit drugs,746.0,564.0,182.0,0.0,737.0,9.0,
Asia,East and South-East Asia,China,Offences related to drug trafficking,2020,All illicit drugs,92124.0,78100.0,14021.0,3.0,91398.0,726.0,
Europe,Western and Central Europe,Greece,Offences related to drug trafficking,2020,All illicit drugs,3347.0,2819.0,298.0,230.0,3289.0,58.0,
Europe,Western and Central Europe,Greece,Offences related to drug use and/or drug possession,2020,All illicit drugs,13335.0,12360.0,746.0,229.0,12946.0,389.0,
Europe,Western and Central Europe,Luxembourg,Offences related to drug trafficking,2020,All illicit drugs,187.0,166.0,21.0,0.0,175.0,11.0,
Europe,Western and Central Europe,Luxembourg,Offences related to drug use and/or drug possession,2020,All illicit drugs,1504.0,1303.0,192.0,9.0,1366.0,137.0,
Europe,Western and Central Europe,Luxembourg,Other drug-related offences,2020,All illicit drugs,35.0,31.0,4.0,0.0,28.0,7.0,
Europe,Western and Central Europe,Ireland,Offences related to drug trafficking,2020,All illicit drugs,5950.0,5249.0,595.0,6.0,5544.0,406.0,
Europe,Western and Central Europe,Ireland,Offences related to drug use and/or drug possession,2020,All illicit drugs,14380.0,12666.0,1712.0,2.0,13227.0,1153.0,
Asia,Near and Middle East/ South-West Asia,Israel,Offences related to drug trafficking,2020,All illicit drugs,5054.0,4657.0,396.0,1.0,4521.0,542.0,
Asia,Near and Middle East/ South-West Asia,Israel,Offences related to drug use and/or drug possession,2020,All illicit drugs,21833.0,19907.0,1925.0,1.0,17741.0,4144.0,
Americas,Central America,Panama,Offences related to drug trafficking,2020,All illicit drugs,256.0,134.0,6.0,116.0,,,
Americas,Central America,Panama,Offences related to drug use and/or drug possession,2020,All illicit drugs,2408.0,2088.0,187.0,133.0,,,
Americas,Central America,Panama,Other drug-related offences,2020,All illicit drugs,840.0,610.0,96.0,134.0,,,
Europe,Western and Central Europe,Portugal,Offences related to drug trafficking,2020,All illicit drugs,1616.0,1412.0,204.0,0.0,1611.0,5.0,
Europe,Western and Central Europe,Portugal,Offences related to drug use and/or drug possession,2020,All illicit drugs,5847.0,5394.0,453.0,0.0,5596.0,251.0,
Asia,Near and Middle East/ South-West Asia,Saudi Arabia,Offences related to drug trafficking,2020,All illicit drugs,17786.0,17661.0,125.0,0.0,17575.0,211.0,
Asia,Near and Middle East/ South-West Asia,Saudi Arabia,Offences related to drug use and/or drug possession,2020,All illicit drugs,57747.0,57272.0,475.0,0.0,56921.0,826.0,
Asia,Near and Middle East/ South-West Asia,Saudi Arabia,Other drug-related offences,2020,All illicit drugs,57.0,53.0,4.0,0.0,57.0,0.0,
Europe,Western and Central Europe,Sweden,Offences related to drug trafficking,2020,All illicit drugs,1304.0,1151.0,140.0,13.0,1245.0,55.0,
Europe,Western and Central Europe,Sweden,Offences related to drug use and/or drug possession,2020,All illicit drugs,76861.0,65706.0,11113.0,42.0,69968.0,6760.0,
Europe,Western and Central Europe,Sweden,Other drug-related offences,2020,All illicit drugs,6109.0,5248.0,836.0,25.0,5653.0,401.0,
Europe,Western and Central Europe,Switzerland,Offences related to drug trafficking,2020,All illicit drugs,8863.0,7833.0,1030.0,0.0,7906.0,957.0,
Europe,Western and Central Europe,Switzerland,Offences related to drug use and/or drug possession,2020,All illicit drugs,27022.0,23376.0,3646.0,0.0,22729.0,4293.0,
Europe,Western and Central Europe,Switzerland,Other drug-related offences,2020,All illicit drugs,58.0,50.0,8.0,0.0,51.0,7.0,
Americas,South America,Uruguay,Offences related to drug trafficking,2020,All illicit drugs,107.0,90.0,18.0,0.0,105.0,0.0,
Americas,South America,Uruguay,Offences related to drug use and/or drug possession,2020,All illicit drugs,222.0,195.0,27.0,0.0,220.0,2.0,
Americas,South America,Uruguay,Other drug-related offences,2020,All illicit drugs,817.0,619.0,198.0,0.0,821.0,5.0,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2014,All illicit drugs,1518.0,1497.0,21.0,,1518.0,0.0,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2014,Cannabis-type,1328.0,1312.0,16.0,,,,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2014,Opioids,120.0,118.0,2.0,,,,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2014,Cocaine-type,52.0,51.0,1.0,,,,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2014,Other NPS,11.0,10.0,1.0,,,,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2016,All illicit drugs,2052.0,2016.0,36.0,,1930.0,122.0,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2016,Cannabis-type,1733.0,1697.0,36.0,,,,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2016,Opioids,99.0,99.0,0.0,,,,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2016,Cocaine-type,151.0,151.0,0.0,,,,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2016,ATS,0.0,,,,,,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2016,Hallucinogens,0.0,,,,,,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2017,All illicit drugs,2270.0,2215.0,55.0,,2079.0,191.0,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2017,Cannabis-type,1911.0,1892.0,19.0,,,,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2017,Opioids,147.0,143.0,4.0,,,,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2017,Cocaine-type,173.0,173.0,,,,,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2018,All illicit drugs,2215.0,2179.0,44.0,,2136.0,87.0,
Europe,South-Eastern Europe,Albania,Offences related to drug trafficking,2019,All illicit drugs,195.0,193.0,2.0,,195.0,0.0,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2016,Solvents and inhalants,1.0,1.0,0.0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,All illicit drugs,41368.0,41006.0,362.0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,Cannabis-type,26452.0,26246.0,206.0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,Opioids,22.0,22.0,0.0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,Cocaine-type,142.0,137.0,5.0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,ATS,14504.0,14354.0,150.0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,Other opioids not under international control,6.0,6.0,0.0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,All illicit drugs,10035.0,9879.0,156.0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,Cannabis-type,6515.0,6429.0,86.0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,Opioids,14.0,14.0,0.0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,Cocaine-type,112.0,107.0,5.0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,Non-specified,242.0,241.0,1.0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,ATS,3317.0,3253.0,64.0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,Other opioids not under international control,0.0,0.0,0.0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,Non-specified,77.0,76.0,1.0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,All illicit drugs,34030.0,33839.0,191.0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,Cannabis-type,22003.0,21901.0,102.0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,Opioids,28.0,28.0,,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,Cocaine-type,338.0,335.0,3.0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,ATS,10667.0,10592.0,75.0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,Other stimulants,431.0,426.0,5.0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,Ecstasy-type substances,560.0,554.0,6.0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2017,All illicit drugs,8549.0,8448.0,101.0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2017,Cannabis-type,5688.0,5637.0,51.0,,,,
