"""ECSTASY""-TYPE SUBSTANCES",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Argentina,0.1,,,0.1,0.1,2011,16-65,ARQ,HHS,,
,,Argentina,0.2,,,,,2008,12-65,Government source ,HHS,,
,,Bolivia (Plurinational State of),0.06,,,0.05,0.07,2018,15-64,ARQ,HHS,,
,,Bolivia (Plurinational State of),0.01,,,0.02,0,2014,12-65,ARQ,HHS,,
,,Bolivia (Plurinational State of),0.01,,,0.02,0,2013,12-65,ARQ,HHS,,
,,Bolivia (Plurinational State of),0.1,,,0,0.1,2007,12-65,ARQ,HHS,,
,,Brazil,0.25,,,0.16,0.34,2012,15-64,Government source,HHS,,
,,Brazil,0.2,,,,,2005,15-64,UNODC Estimate ,,,
,,Chile,0.3,,,0.54,0.08,2020,15-64,ARQ,HHS,,
,,Chile,0.27,,,0.36,0.17,2018,15-64,ARQ,HHS,,
,,Chile,0.06,,,0.09,0.03,2016,15-64,ARQ,HHS,,
,,Chile,0.08,,,0.1,0.05,2014,15-64,ARQ,HHS,,
,,Chile,0.05,,,0.1,0,2012,15-64,ARQ,HHS,,
,,Chile,0.01,,,,,2010,15-64,ARQ,HHS,,
,,Chile,0.1,,,,,2008,15-64,ARQ ,HHS ,,
,,Colombia,0.16,0.11,0.21,0.22,0.1,2019,12-65,Government source,HHS,,
,,Colombia,0.19,0.09,0.29,0.29,0.1,2013,12-65,ARQ,HHS,,
,,Colombia,0.28,0.17,0.39,0.41,0.17,2008,12-65,ARQ,HHS,,
,,Ecuador,0.01,,,0.01,0,2013,12-65,ARQ,HHS,,
,,Ecuador,0.2,,,,,2005,15-64,UNODC Estimate ,,,
,,Guyana,0.28,0.08,0.48,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Guyana,0.13,,,,,2002,15-64,UNODC Estimate,,,
,,Paraguay,0.09,,,,,2005,15-64,UNODC Estimate,,,
,,Peru,0.301,0.027,0.575,,,2017,12-65,Government source/UNODC Estimates,SS,d,
,,Peru,0.04,,,,,2010,12-65,Government source,HHS,,
,,Peru,0.04,,,,,2006,12-64,ARQ,HHS,c,
,,Suriname,0.1,,,0.1,0.2,2013,12-65,ARQ,HHS,,
,,Suriname,0.1,0.01,0.21,,,2007,12-65,Government source,HHS,"c, e",
,,Suriname,0.1,,,,,2002,15-65,UNODC Estimate ,,,
,,Uruguay,0.9,,,1.1,0.6,2018,15-65,ARQ,HHS,,
,,Uruguay,0.4,,,0.7,0.1,2014,15-65,ARQ,HHS,,
,,Uruguay,0.2,,,0.2,0.1,2011,15-65,ARQ,HHS,,
,,Uruguay,0.1,,,,,2006,15-64,ARQ ,HHS ,,
,,Venezuela (Bolivarian Republic of),0.13,,,,,2011,15-64,Government source,HHS,,
,,Venezuela (Bolivarian Republic of),0.04,,,,,2005,15-64,Government source ,HHS ,"a, e ",
Asia,Central Asia and Transcaucasia,Armenia,0.1,,,,,2005,15-64,UNODC Estimate,HHS,,
,,Georgia,0.1,,,0.1,0,2015,18-64,ARQ,HHS,,
,,Georgia,0.54,0.17,0.91,,,2009,15-64,ARQ,SS,"a, b, d, e",
,,Georgia,1.72,0.7,2.4,,,2007,15-64,ARQ ,SS ,"d, e ",
,East and South-East Asia,Cambodia,0.14,,,,,2003,15-64,UNODC Estimate,,,
,,"China, Taiwan Province of China",0.52,,,,,2005,15-64,AMCEWG,,a,
,,Indonesia,0.37,,,0.72,0.08,2019,15-64,ARQ,HHS,,
,,Indonesia,0.27,,,,,2015,10-59,Government source,HHS,,Estimate for 13 provinces.
,,Indonesia,0.03,,,0.05,0,2015,10-60,ARQ,HHS,,20 of 34 provinces.
,,Indonesia,0.19,,,,,2010,10-60,ARQ,HHS,,
,,Indonesia,0.2,,,,,2008,10-59,ARQ ,HHS ,,
,,Japan,0.03,,,,,2019,15-64,ARQ,HHS,,
,,Japan,0,,,,,2017,15-64,ARQ,HHS,,
,,Japan,0.1,,,,,2009,15-64,UNODC Estimate,HHS,e ,
,,Malaysia,0.44,,,,,2003,15-64,UNODC Estimate,,"e, g",
,,Philippines,0.02,,,,,2012,10-69,ARQ,HHS,,Data refers to 2012/13. 17 of 18 regions.
,,Philippines,0.18,,,,,2004,15-64,Government source,HHS,,
,,Republic of Korea,0.08,0.04,0.08,,,2004,15-64,ARQ,HHS,"c, e",
,,Thailand,0.439,,,,,2019,12-65,Government source,HHS,,
,,Thailand,0.3,,,,,2007,15-64,ARQ,HHS,,
,,Viet Nam,0.22,,,,,2003,15-64,UNODC Estimate,,,
,Near and Middle East/South-West Asia,Iran (Islamic Republic of),0.08,,,,,2011,15-64,Government source,,,
,,Israel,0.6,,,0.5,0.7,2020,18-86,ARQ,HHS,,
,,Israel,0.6,,,0.9,0.3,2016,18-65,ARQ,HHS,,
,,Israel,1,,,1.27,0.58,2009,18-40,ARQ,HHS,,
,,Israel,0.7,,,,,2005,18-40,ARQ ,HHS ,,
,,Lebanon,1,0.3,1.7,,,2009,15-64,Government source/ NGO/Academic research,SS,"d, e",
,,Lebanon,0.5,,,,,2001,15-64,UNODC Estimate ,,"d, e ",
Europe,Eastern Europe,Belarus,0.31,0.3,0.33,,,2007,15-64,ESPAD,SS,"c, d, e",
,,Republic of Moldova,0.1,,,,,2010,15-64,Government sources,HHS,,
,,Republic of Moldova,0.32,,,,,2008,15-64,Government source,HHS ,,
,,Russian Federation,0.68,,,,,2007,15-64,ESPAD/UNODC Estimate,SS,"d, e",Approximate adjustment
,,Ukraine,0.57,0.01,1.12,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Ukraine,0.93,0.37,1.49,,,2011,15-64,ESPAD,SS,"d, e",
,,Ukraine,0.68,0.68,0.69,,,2007,15-64,ESPAD ,SS ,"d, e ",
,South-Eastern Europe,Albania,0.2,,,,,2014,15-64,Public health research,HHS,,
,,Albania,0.2,,,0.5,0.1,2014,15-64,ARQ,HHS,,
,,Albania,1.19,0.54,1.84,,,2011,15-64,ESPAD,SS,d ,
,,Albania,0.97,0.26,2.08,,,2006,15-64,Government source,SS ,"d, e ",
,,Bosnia and Herzegovina,0.5,0.11,0.88,,,2011,15-64,ARQ,SS,"b, d",
,,Bosnia and Herzegovina,1.42,0.37,2.67,,,2008,15-64,ESPAD ,SS ,"c, d, e ",
,,Bulgaria,0.2,,,0.2,0.3,2020,15-64,ARQ,HHS,,
,,Bulgaria,1.3,,,1.8,0.7,2016,15-64,ARQ,HHS,,
,,Bulgaria,1.2,,,1.7,0.8,2012,15-64,ARQ,HHS,,
,,Bulgaria,0.7,,,,,2008,15-64,ARQ,HHS,,
,,Croatia,1.2,,,1.9,0.5,2019,15-64,ARQ,HHS,,
,,Croatia,0.6,,,1,0.2,2015,15-64,ARQ,HHS,,
,,Croatia,0.4,,,,,2011,15-64,ARQ,HHS,,
,,Croatia,0.79,0.78,0.8,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Montenegro,0.9,,,1.2,0.5,2017,15-64,ARQ,HHS,,
,,Montenegro,0.9,0.24,1.57,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Montenegro,0.86,0.31,1.4,,,2011,15-64,ESPAD,SS,d ,
,,Montenegro,0.45,0.12,1.47,,,2008,15-64,ESPAD ,SS ,"d, e ",
,,North Macedonia,0.8,,,1.2,0.4,2017,15-64,ARQ,HHS,,UNODC best estimate based on ARQ data on prevalence of male and female
,,North Macedonia,0.63,0.12,1.14,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,North Macedonia,0.75,0.2,1.82,,,2008,15-64,ESPAD,SS,"d, e",
,,North Macedonia,0.1,,,,,1999,15-64,UNODC Estimate ,,d ,
,,Romania,0.5,,,0.7,0.2,2019,15-64,ARQ,HHS,,
,,Romania,0.1,,,0.2,0.1,2016,15-64,ARQ,HHS,,
,,Romania,0.2,,,0.1,0.2,2013,15-64,EMCDDA,HHS,,
,,Romania,0.2,,,,,2010,15-64,ARQ,HHS,,
,,Romania,0.1,,,,,2007,15-64,ARQ ,HHS ,,
,,Serbia,0.4,,,0.3,0.4,2018,15-64,ARQ ,HHS ,,MDMA
,,Serbia,0.1,,,0.1,0.1,2014,18-64,Government sources,HHS,,
,,Serbia,0.63,0.39,0.86,,,2008,15-64,Government sources,HHS,"a, e",
,,Türkiye,0.1,,,0.2,,2018,15-64,ARQ,HHS,,
,,Türkiye,0.1,,,0.2,,2017,15-64,EMCDDA,HHS,,
,,Türkiye,,,,0.1,,2011,15-64,ARQ,HHS,,
,,Türkiye,0.26,,,,,2003,15-64,UNODC Estimate,,,
,Western and Central Europe,Austria,1.47,1.15,1.84,,,2020,15-64,Government source,HHS,,
,,Austria,0.4,0.2,0.7,0.5,0.4,2015,15-64,Government source,HHS,,
,,Austria,0.5,,,,,2008,15-64,ARQ,HHS,,
,,Austria,0.9,,,,,2004,15-64,EMCDDA ,HHS ,,
,,Belgium,1.2,,,1.9,0.5,2018,15-64,ARQ,HHS,,
,,Belgium,0.3,,,0.4,0.3,2013,15-64,EMCDDA,HHS,,
,,Belgium,0.9,,,,,2008,15-64,ARQ,HHS,,
,,Belgium,1.12,,,,,2007,15-64,ESPAD ,SS ,"c, d, e ",
,,Cyprus,0.3,,,0.5,0.1,2019,15-64,ARQ,HHS,,
,,Cyprus,0.1,,,0.1,0.1,2016,15-64,ARQ,HHS,,
,,Cyprus,0.3,,,0.5,0.1,2012,15-64,ARQ,HHS,,
,,Cyprus,0.6,,,1,0.2,2009,15-64,ARQ,HHS,,
,,Cyprus,1,,,1.8,0.2,2006,15-64,ARQ ,,,
,,Czechia,1.5,,,1.7,1.2,2019,15-64,ARQ,HHS,,
,,Czechia,0.9,,,1.1,0.7,2018,15-64,ARQ,HHS,,
,,Czechia,0.8,,,1.3,0.3,2017,15-64,EMCDDA,HHS,,
,,Czechia,1.6,,,2.4,0.9,2016,15-64,ARQ,HHS,,
,,Czechia,1.3,,,1.6,1,2015,15-64,ARQ,HHS,,
,,Czechia,1.6,,,2.3,0.9,2014,15-64,ARQ,HHS,,
,,Czechia,1.1,,,1.2,0.9,2013,15-64,ARQ,HHS,,
,,Czechia,0.6,,,0.7,0.5,2012,15-64,ARQ,HHS,,
,,Czechia,2.2,,,,,2010,15-64,ARQ,HHS,,
,,Czechia,3.6,,,,,2008,15-64,Government source,HHS ,,
,,Denmark,0.5,,,0.8,0.3,2017,16-64,ARQ,HHS,,
,,Denmark,0.2,,,0.4,0.1,2013,16-64,ARQ,HHS,,
,,Denmark,0.3,,,,,2010,16-64,ARQ,HHS,,
,,Denmark,0.4,,,,,2008,16-64,ARQ ,HHS ,,
,,Estonia,0.98,,,1.54,0.6,2018,16-64,ARQ,HHS,,MDMA
,,Estonia,1.2,,,1.6,0.8,2008,15-64,ARQ,HHS,,
,,Estonia,1.7,,,,,2003,15-64,ARQ ,HHS ,,
,,Finland,1.4,,,1.9,0.8,2018,15-64,ARQ,HHS,,
,,Finland,1.1,,,1.6,0.5,2014,15-64,ARQ,HHS,,
,,Finland,0.4,,,0.6,0.2,2010,15-64,ARQ,HHS,,
,,Finland,0.5,,,,,2006,15-64,ARQ ,,,
,,France,1,,,1.5,0.6,2017,15-64,ARQ,HHS,,
,,France,0.6,,,0.8,0.3,2017,18-64,EMCDDA,HHS,,
,,France,0.9,,,1.2,0.6,2014,15-64,ARQ,HHS,,
,,France,0.3,,,0.4,0.1,2010,15-64,ARQ,HHS,,
,,France,0.5,,,,,2005,15-64,ARQ ,,,
,,Germany,1.08,,,1.18,0.97,2018,18-64,ARQ,HHS,,
,,Germany,0.6,0.5,0.9,0.7,0.6,2015,18-64,ARQ/Academic,HHS,,
,,Germany,0.4,,,0.7,0.1,2012,18-64,ARQ,HHS,,
,,Germany,0.4,,,0.6,0.2,2009,18-64,ARQ,HHS,,
,,Germany,0.4,,,,,2006,18-64,Government source ,HHS ,,
,,Greece,0.2,,,0.3,0.1,2015,18-64,ARQ,HHS,,
,,Greece,0.2,,,0.2,0.1,2004,15-64,EMCDDA,,,
,,Hungary,0.6,,,1.2,0.3,2019,18-64,ARQ,HHS,,
,,Hungary,0.88,,,0.99,0.81,2015,18-64,ARQ,HHS,,
,,Hungary,0.5,0.2,0.8,,,2007,18-64,ARQ,HHS,,
,,Iceland,0.52,0.37,0.67,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Iceland,0.58,0.16,1,,,2011,15-64,ESPAD,SS,d,
,,Iceland,0.5,,,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Ireland,2.7,,,3.9,1.6,2019,15-64,ARQ,HHS,,MDMA
,,Ireland,2.1,,,3.1,1.1,2015,15-64,ARQ,HHS,,Data for 2014-15.
,,Ireland,0.5,,,0.6,0.3,2011,15-64,ARQ,HHS,,
,,Ireland,1.2,,,,,2007,15-64,Government source ,,,
,,Italy,0.35,,,0.45,0.26,2017,15-64,ARQ,HHS,,
,,Italy,0.4,,,0.6,0.3,2013,15-64,ARQ,HHS,,Data refers to 2013/14. New Survey reported
,,Italy,0.06,,,0.11,0.02,2012,15-64,ARQ,HHS,,
,,Italy,0.66,0.7,0.7,,,2008,15-64,ARQ,HHS,,
,,Italy,0.5,,,,,2005,15-64,EMCDDA ,HHS ,,
,,Latvia,0.7,,,0.9,0.5,2020,15-64,ARQ,HHS,,
,,Latvia,0.3,,,0.5,0.2,2015,15-64,ARQ,HHS,,
,,Latvia,0.4,,,0.6,0.1,2011,15-64,ARQ,HHS,,
,,Latvia,1.5,,,,,2007,15-64,ARQ ,,,
,,Lithuania,0.4,,,0.6,0.2,2016,15-64,ARQ,HHS,,
,,Lithuania,0.2,,,0.2,0.1,2012,15-64,ARQ,HHS,,
,,Lithuania,1,,,,,2008,15-64,ARQ,HHS,,
,,Lithuania,0.4,,,,,2004,15-64,ARQ ,HHS ,"b, c ",
,,Luxembourg,0.3,,,0.4,0.2,2019,15-64,ARQ,HHS,,
,,Luxembourg,0.2,,,,,2014,15-64,Government source,HHS,,Data collected in 2014
,,Luxembourg,0.48,0.11,0.86,,,2010,15-64,ARQ,SS,d ,
,,Luxembourg,0.71,0.23,1.2,,,2006,15-64,ARQ,SS,d ,
,,Malta,0,,,,,2013,15-64,ARQ,HHS,,
,,Malta,0.86,0.31,1.4,,,2011,15-64,ESPAD,SS,d,
,,Malta,0.88,0.87,0.89,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Netherlands,4,,,4.5,3.5,2020,15-64,ARQ,HHS,,
,,Netherlands,4.2,,,5.6,2.9,2019,15-64,EMCDDA,HHS,,
,,Netherlands,3.5,,,4.2,2.9,2018,15-64,EMCDDA,HHS,,
,,Netherlands,3.3,2.9,3.8,4.1,2.6,2017,15-64,EMCDDA,HHS,,
,,Netherlands,3.6,,,4.6,2.5,2016,15-64,EMCDDA,HHS,,
,,Netherlands,3.4,,,4.4,2.4,2015,15-64,EMCDDA,HHS,,
,,Netherlands,2.5,,,,,2014,15-64,ARQ,HHS,,
,,Netherlands,1.4,,,,,2009,15-64,ARQ,HHS,,
,,Netherlands,1.2,,,,,2005,15-64,ARQ ,,,
,,Norway,0.9,,,1.4,0.5,2020,16-64,ARQ,HHS,,
,,Norway,0.6,,,0.7,0.5,2019,16-64,ARQ,HHS,,
,,Norway,0.7,,,1.3,0.1,2018,16-64,ARQ,HHS,,
,,Norway,1,,,1.3,0.7,2017,16-64,ARQ,HHS,,
,,Norway,0.6,,,0.6,0.6,2016,16-64,ARQ,HHS,,
,,Norway,0.6,,,1,0.2,2015,16-64,ARQ,HHS,,
,,Norway,0.1,,,0.2,0.1,2014,16-64,ARQ,HHS,,
,,Norway,0.4,,,0.8,0,2013,16-64,ARQ,HHS,,
,,Norway,0.3,,,,,2009,15-64,ARQ,HHS,,
,,Norway,0.5,,,,,2004,15-64,ARQ ,,,
,,Poland,0.3,,,0.3,0.3,2019,15-64,ARQ,HHS,,Data refers to 2018/19
,,Poland,1.2,,,0.9,1.5,2016,15-64,ARQ,HHS,,
,,Poland,0.3,,,0.7,,2014,15-64,ARQ,HHS,,Data refers to 2014/15
,,Poland,0.1,,,,,2012,15-64,ARQ,HHS,,
,,Poland,1.5,,,,,2010,15-64,ARQ,HHS,,
,,Poland,0.3,,,,,2006,15-64,ARQ ,,,
,,Portugal,0.1,,,0.2,0.04,2017,15-64,ARQ,HHS,,Data refers to 2016/2017
,,Portugal,0.2,,,0.3,0.2,2012,15-64,ARQ,HHS,,
,,Portugal,0.4,,,0.6,0.2,2007,15-64,ARQ,HHS,,
,,Slovakia,0.5,,,0.8,0.1,2019,15-64,ARQ,HHS,,
,,Slovakia,0.6,,,1,0.1,2015,15-64,ARQ,HHS,,
,,Slovakia,0.46,,,,,2010,15-64,EMCDDA,HHS,,
,,Slovakia,1.6,,,,,2006,15-64,EMCDDA,HHS,,
,,Slovakia,1.2,,,,,2004,15-64,ARQ ,,,
,,Slovenia,0.5,0.4,0.7,0.6,0.4,2018,15-64,EMCDDA,HHS,"a,b",
,,Slovenia,0.3,,,0.4,0.2,2012,15-64,ARQ,HHS,,
,,Slovenia,0.46,0.18,0.74,,,2008,18-65,ARQ,HHS,e,
,,Slovenia,0.68,0.68,0.69,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Spain,0.9,,,1.4,0.4,2020,15-64,ARQ,HHS,,Survey conducted between February and March 2020.
,,Spain,0.6,0.5,0.7,1,0.3,2017,15-64,EMCDDA,HHS,,
,,Spain,0.6,,,0.9,0.3,2015,15-64,ARQ,HHS,,
,,Spain,0.7,,,1,0.3,2013,15-64,ARQ,HHS,,
,,Spain,0.8,,,1.4,0.3,2011,15-64,ARQ,HHS,,
,,Spain,1.4,,,,,2009,15-64,ARQ ,HHS ,,
,,Sweden,0.9,,,,,2017,17-64,ARQ,HHS,,
,,Sweden,0.5,,,0.6,0.3,2013,15-64,EMCDDA,HHS,,
,,Sweden,0.1,,,,,2008,15-64,ARQ,HHS,,
,,Sweden,0.25,,,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Switzerland,0.18,,,,,2016,15-64,Government source,HHS,a,
,,Switzerland,0.31,,,,,2015,15-64,ARQ,HHS,a,
,,Switzerland,0.22,,,0.31,0.13,2013,15-64,ARQ,HHS,,
,,Switzerland,0.3,,,,,2012,15+,ARQ,HHS,,
,,Switzerland,0.29,0.07,0.5,,,2011,15-64,ARQ,HHS,e,
,,Switzerland,0.33,0.13,0.51,,,2007,15-64,ARQ ,"HHS, SS","d, e ",
,,United Kingdom (England and Wales),1.27,,,1.56,1,2019,16-64,ARQ,HHS,,Data refers to 2019/20. Office for National Statistics (ONS)
,,United Kingdom (England and Wales),1.55,,,2.07,1.04,2018,16-59,Government source,HHS,,Data refers to 2018/19. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),1.66,,,2.23,1.09,2017,16-59,Government source,HHS,,Data refers to 2017/18. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),1.34,,,1.75,0.93,2016,16-59,Government source,HHS,,Data refers to 2016/17. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),1.5,,,2.18,0.83,2015,16-59,Government source,HHS,,Data refers to 2015/16. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),1.68,,,2.52,0.85,2014,16-59,Government source,HHS,,Data refers to 2014/15. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),1.58,,,2.29,0.89,2013,16-59,Government source,HHS,,Data refers to 2013/14. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),1.24,,,1.85,0.64,2012,16-59,Government source,HHS,,Data refers to 2012/13. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),1.38,,,2.01,0.76,2011,16-59,Government source,HHS,,Data refers to 2011/12. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),1.35,,,1.86,0.85,2010,16-59,Government source ,HHS ,,Data refers to 2010/11. Crime Survey for England and Wales.
,,United Kingdom (Northern Ireland),0.8,,,,,2014,15-64,Government source,HHS,,Data refers to 2014/15
,,United Kingdom (Northern Ireland),1.1,,,,,2011,15-64,Government source,HHS,,Data refers to 2010/11
,,United Kingdom (Northern Ireland),1.8,,,,,2006,15-64,Government source ,HHS ,,
,,United Kingdom (Scotland),1.7,,,2.66,0.78,2014,16-64,Government source,HHS,,Data refers to 2014/15
,,United Kingdom (Scotland),1.7,,,2.6,0.7,2012,16-64,Government source,HHS,,Data refers to 2012/13
,,United Kingdom (Scotland),1.7,,,,,2011,16-64,Government source,HHS,,Data refers to 2010/11
,,United Kingdom (Scotland),2.4,,,,,2010,16-64,Government source ,HHS ,,Data refers to 2009/10
Oceania,Australia and New Zealand,Australia,3,,,3.9,2,2019,14+,ARQ,HHS,,
,,Australia,2.2,,,2.6,1.8,2016,14+,ARQ,HHS,,
,,Australia,2.5,,,3.2,1.8,2013,14+,ARQ,HHS,,
,,Australia,3,,,,,2010,14+,ARQ,HHS,,
,,Australia,4.2,,,,,2007,15-64,Government source/ NGO/Academic research ,HHS ,,
,,New Zealand,2,1.7,2.4,2.7,1.5,2013,15+,Government source,HHS,,2012/13 New Zealand Health Survey: Drug Module
,,New Zealand,2.6,2,3.1,3.6,1.5,2008,16-64,Government source,HHS,,2007/08 New Zealand Alcohol and Drug Use Survey
,,New Zealand,2.6,,,,,2007,16-64,Government source,HHS,,
,,New Zealand,2.6,,,,,2006,15-64,ARQ ,HHS ,"a, z ",
"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.

Method: HHS=Household survey, SS=School survey, A=Adjusted from other sources, I=Indirect estimates, R=Registry.

UNODC Adjustments: a=adjusted for age (15-64), b=population-based/household-type study/survey, c=adjusted from a limited geographic population-based study/survey, d=adjusted from school/youth survey, e=adjusted from lifetime/monthly prevalence adjusted to annual prevalence, f=adjusted from specialized population surveys (including Rapid Assessments), g=adjusted from treatment data, h=adjusted from drug registries, i=adjusted from HIV, problematic drug users (only for heroin), j=lifetime prevalence reported, x=figure may include non-medical use of prescription opioids, z=figures may also include other non-ATS stimulants, z*= figures include the use of prescription stimulants (non-prescription/non-therapeutic use). 

The 'Method' and 'Adjustment/notes' columns have been completed only for more recent data included in previous and present issues of the World Drug Report. ",,,,,,,,,,,,,
