PRESCRIPTION OPIOIDS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Republic of Korea,0.08,0.06,0.1,,,2004,15-64,ARQ,HHS,"a, e, x",
,Near and Middle East/South-West Asia,Afghanistan,0.55,0.46,0.63,0.8,0.3,2009,15-64,UNODC/ Govt. source,HHS,,
,,Israel,0.9,,,0.9,1,2016,18-65,ARQ,HHS,,
,,Israel,0.21,,,0.39,0.04,2009,18-40,ARQ,HHS,,Methadone
,,Pakistan,1.5,1.3,1.6,1.6,1.4,2012,15-64,Government/UNODC,HHS and indirect,,
,,Pakistan,0.13,,,,,2006,15-64,UNODC (GAP survey) ,,,
,South Asia,Bangladesh,0.03,,,,,2003,15-64,ARQ,HHS,"a, e",
,,India,0.96,,,,,2018,10-75,Government source,HHS/I,,Pharmaceutical opioids
Europe,Eastern Europe,Belarus,0.04,0.01,0.07,,,2007,15-64,UNODC Estimate ,R ,"h,g ",
,South-Eastern Europe,Bulgaria,0.2,,,0.2,0.1,2020,15-64,ARQ,HHS,,Pharmaceutical opioids
,,Bulgaria,0.2,,,0.2,0.2,2016,15-64,ARQ,HHS,,
,,Bulgaria,0.1,,,0.1,0.1,2012,15-64,ARQ,I,,
,,Serbia,5.1,,,4.1,6.1,2014,18-64,Government sources,HHS,,
,Western and Central Europe,Czechia,0.7,,,1,0.5,2019,15-64,ARQ,HHS,,Pharmaceutical opioids
,,Czechia,0.1,,,0.2,0,2018,15-64,ARQ,HHS,,
,,Czechia,2.6,,,2.2,2.9,2012,15-64,ARQ,HHS,,
,,Estonia,0.13,,,0.22,0.08,2018,16-64,ARQ,HHS,,Fentanyl
,,Estonia,0.71,,,,,2008,15-64,ARQ,I,,
,,Finland,0.9,,,0.9,0.8,2018,15-64,ARQ,HHS,,
,,Finland,0.7,,,1,0.3,2014,15-64,ARQ,HHS,,
,,Germany,0.3,,,0.4,0.3,2012,18-64,HHS,,,Unspecified opiates other than heroin
,,Italy,0.45,,,0.6,0.31,2017,15-64,Government source,HHS,,
,,Italy,0.7,,,0.9,0.4,2013,15-64,ARQ,HHS,,Data refers to 2013/14
,,Poland,0.1,,,0.3,0,2019,15-64,ARQ,HHS,,Data refers to 2018/19
,,Poland,0.1,,,0.1,0,2012,15-64,ARQ,HHS,,
,,Spain,0.6,,,0.6,0.7,2020,15-64,ARQ,HHS,,Pharmaceutical opioids. Survey conducted between February and March 2020.
,,United Kingdom (England and Wales),0.04,,,0.06,0.02,2019,16-64,ARQ,HHS,,Data refers to 2019/20 and to heroin use. Office for National Statistics (ONS)
,,United Kingdom (England and Wales),0.06,,,0.07,0.04,2018,16-59,Government source,HHS,,Data refers to 2018/19. Methadone. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),0.06,,,,,2017,16-59,Government source,HHS,,Data refers to 2017/18. Methadone. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),0.04,,,0.07,0.01,2016,16-59,Government source,HHS,,Data refers to 2016/17. Methadone. Crime Survey for England and Wales.
,,United Kingdom (England and Wales),0.08,,,0.12,0.03,2015,16-59,Government source,HHS,,Data refers to 2015/16. Methadone.
,,United Kingdom (England and Wales),0.1,,,0.1,0,2014,16-59,ARQ,HHS,,Data refers to 2014/15. Crime Survey for England and Wales
,,United Kingdom (Scotland),0.19,,,0.28,0.1,2014,16-64,Government source,HHS,,Data refers to 2014/15. Methadone/Physeptone.
Oceania,Australia and New Zealand,Australia,4.2,,,,,2019,14+,ARQ,HHS,,
,,Australia,3.6,,,,,2016,14+,ARQ,HHS,,
,,Australia,3.28,,,3.33,3.23,2013,14+,Government source,HHS,,
,,Australia,3.1,,,,,2010,15-64,Government source,HHS,a,
,,New Zealand,1,0.7,1.3,1.5,1,2008,15-64,Government source,HHS,,2007/08 New Zealand Alcohol and Drug Use Survey
"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.
Opioids include prescription opioids and opiates (opiates include opium and heroin).

Method: HHS=Household survey, SS=School survey, A=Adjusted from other sources, I=Indirect estimates, R=Registry.
 
* According to the Government of Canada, while opioid use in Canada is reportable, other opioid use was not reportable in 2011, 2012 and 2013; data on heroin and opium use based on the household survey is not reportable and the Government of Canada does not report an estimate based on indirect methods.

UNODC Adjustments: a=adjusted for age (15-64), b=population-based/household-type study/survey, c=adjusted from a limited geographic population-based study/survey, d=adjusted from school/youth survey, e=adjusted from lifetime/monthly prevalence adjusted to annual prevalence, f=adjusted from specialized population surveys (including Rapid Assessments), g=adjusted from treatment data, h=adjusted from drug registries, i=adjusted from HIV, problematic drug users (only for heroin), j=lifetime prevalence reported, x=figure may include non-medical use of prescription opioids, z=figures may also include other non-ATS stimulants, z*= figures include the use of prescription stimulants (non-prescription/non-therapeutic use).  

The 'Method' and 'Adjustment/notes' columns have been completed only for more recent data included in previous and present issues of the World Drug Report. ",,,,,,,,,,,,,
