"OPIOIDS
(includes opiates, other illicit opioids and prescription opioids)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Uzbekistan,0.8,,,,,2006,15-64,UNODC (GAP survey),I,x,Includes prescription opioids
,East and South-East Asia,Philippines,0.05,,,,,2007,15-64,Reference Group to the UN on HIV and IDU,,,
,,Singapore,0.33,0.28,0.38,,,2010,15-64,UNODC Estimate,I,,Includes prescription opioids
,Near and Middle East/South-West Asia,Afghanistan,8.5,,,10.3,6.7,2015,15+,INL,HHS,,
,,Afghanistan,2.92,2.65,3.2,4.3,1.45,2009,15-64,UNODC/ Government Source,HHS,x,Includes prescription opioids
,,Iran (Islamic Republic of),3.02,2.56,3.47,,,2011,15-64,Academic source,HHS,,
,,Israel,0.1,,,0,0.2,2020,18-86,ARQ,HHS,,
,,Pakistan,2.4,2,3.1,3.4,1.4,2012,15-64,Government/UNODC,HHS/I,x,Includes prescription opioids
,,Pakistan,0.7,,,,,2006,15-64,UNODC (GAP survey) ,I,x,Includes prescription opioids
,South Asia,Bangladesh,0.4,,,,,2003,15-64,ARQ,HHS,"a, e, x",Includes prescription opioids
,,India,2.06,,,3.97,0.16,2018,10-75,Government source,HHS/I,,"Includes opium, heroin and prescription opioids"
,,Maldives,1.46,,,,,2012,15-64,Government source,HHS,,Includes prescription opioids
Europe,Eastern Europe,Russian Federation,1.03,,,,,2016,15-64,Government/UNODC Estimate,I,h,"These estimates are based on a methodology that uses a multiplier calculated in 2006-2009, when the population of opioid users was believed to have been larger than in 2016. Caution should be used in using these estimates because they are under review which is related to the change in pattern of drug abuse among patients entering medical facilities for treatment and care"
,,Russian Federation,2.29,,,,,2010,15-64,Government source,I,x,"Number of persons in treatment for opioid use disorders, adjusted with a (latency) multiplier of 5."
,South-Eastern Europe,Bulgaria,0.5,,,0.5,0.4,2020,15-64,ARQ,HHS,,"Opioids, including opiates and synthetic opioids"
,,Bulgaria,0.3,,,0.4,0.2,2016,15-64,ARQ,HHS,,
,,Bulgaria,0.51,,,,,2011,15-64,ARQ,I,x,Includes prescription opioids
,,Bulgaria,0.44,,,,,2008,15-64,ARQ ,I ,x,Includes prescription opioids
,,Croatia,0.31,0.251,0.402,,,2015,15-64,ARQ,I,,Problem opioid users
,,North Macedonia,0.5,,,,,2005,15-64,ARQ,,x,Includes prescription opioids
,,Romania,0.3,,,0.2,0.5,2019,15-64,ARQ,HHS,x,
,,Romania,0.2,,,0.2,0.1,2016,15-64,ARQ,HHS,,
,,Serbia,5.15,,,4.15,6.1,2014,18-64,Government sources,HHS,x,Includes prescription opioids
,Western and Central Europe,Austria,0.539,0.523,0.554,1.16,0.19,2019,15-64,EMCDDA/ARQ/UNODC Estimates,I,,Problem opioid users
,,Austria,0.53,,,,,2015,15-64,ARQ,I,,Problem opioid users
,,Austria,0.5,0.49,0.51,,,2013,15-64,EMCDDA,I,,Problem opioid users
,,Austria,0.53,0.52,0.55,,,2011,15-64,EMCDDA,I,,Problem opioid users
,,Belgium,0.7,0.4,1,0.8,0.7,2018,15-64,ARQ/Government source,HHS,,Belgian Health Interview Survey
,,Belgium,0.2,,,0.3,0.1,2013,15-64,ARQ,HHS,,Opioid users
,,Belgium,0.2,,,,,2008,15-64,ARQ,HHS,,
,,Cyprus,0.172,0.131,0.232,,,2019,15-64,EMCDDA,I,,"Problem opioid users: Heroin, Methadone, Buprenorphine, other opioids"
,,Cyprus,0.207,0.164,0.269,,,2018,15-64,EMCDDA,I,,"Problem opioid users: Heroin, Methadone, Buprenorphine, other opioids"
,,Cyprus,0.2,0.157,0.264,,,2017,15-64,EMCDDA,I,,"Problem opioid users: Heroin, Methadone, Buprenorphine, other opioids"
,,Czechia,0.153,0.148,0.158,,,2019,15-64,EMCDDA,I,,"Problem opioid users: Heroin,Methadone,Buprenorphine, Fentanyl illicit, other opioids"
,,Czechia,0.189,0.182,0.197,,,2017,15-64,EMCDDA,,,"Problem opioid users: Heroin,Methadone,Buprenorphine, Fentanyl illicit, other opioids"
,,Czechia,0.18,0.17,0.186,,,2016,15-64,ARQ,I,,Problem opioid users
,,Czechia,0.18,,,,,2015,15-64,ARQ,HHS,,Problem opioid users
,,Czechia,0.16,0.14,0.18,,,2014,15-64,EMCDDA,I,,"Problem opioid users (Heroin, but includes methadone, buprenorphine)"
,,Czechia,0.15,,,,,2013,15-64,EMCDDA,I,,"Problem opioid users (Heroin, but includes methadone, buprenorphine)"
,,Czechia,0.13,,,,,2012,15-64,EMCDDA,I,,Problem opioid users
,,Estonia,0.17,,,0.33,0.08,2018,16-64,Government sources,HHS,,Heroin and fentanyl
,,Estonia,1.53,,,,,2008,15-64,ARQ,I,x,Problem opioid users
,,Finland,0.765,0.686,0.861,,,2017,15-64,EMCDDA,I,,"Problem opioid users. Covers people who have been treated for opioid use disorders, new cases of people been diagnosed with hepatitis C, people who have driven under influence of opioids. Estimation based on capture-recapture method"
,,Finland,0.41,0.38,0.45,,,2012,15-64,ARQ,I,,Problem opioid users
,,Finland,0.6,,,0.7,0.5,2010,15-64,ARQ,HHS,x,Prescription opioids
,,France,0.506,0.494,0.517,,,2019,15-64,EMCDDA,I,,"Heroin, methadone, buprenorphine, fentanyl illicit, other opioids."
,,France,0.48,,,,,2018,15-64,ARQ,I,,Problem opioid users. Estimation based on capture-recapture method
,,France,0.57,0.444,0.69,,,2015,15-64,EMCDDA,I,,Problem opioid users
,,France,0.52,0.44,0.74,,,2013,15-64,EMCDDA,I,x,Data refers to 2013/14. Problem opioid users. Includes some prescription opioids.
,,Germany,0.44,,,0.48,0.39,2018,18-64,ARQ,HHS,,
,,Germany,0.31,,,,,2016,15-64,Government sources/Academic sources,I,,Opioid-dependent users
,,Germany,0.3,,,0.3,0.3,2015,18-64,ARQ,HHS,,
,,Germany,0.4,,,0.4,0.3,2012,18-64,ARQ,HHS,x,Opioid users (heroin and illicit opioids)
,,Germany,0.2,,,0.3,0.1,2009,18-64,ARQ,HHS,x,Opioid users (heroin and illicit opioids)
,,Italy,0.79,0.57,1.02,,,2017,15-64,UNODC Estimate,HHS/I,,"Includes heroin, opium and other opioids"
,,Italy,0.8,,,1.1,0.6,2013,15-64,ARQ,HHS,,"Data refers to 2013/14. Includes heroin, methadone and morphine."
,,Latvia,0.5,,,0.9,0.2,2015,15-64,ARQ,HHS,x,
,,Lithuania,0.4638634036877687,,,,,2018,15-64,ARQ,I,,Problem opioid users. Estimation based on capture-recapture and multiplier benchmark mortality methods
,,Lithuania,0.392,0.267,0.649,,,2016,15-64,EMCDDA,I,,Problem opioid users
,,Luxembourg,0.351,,,,,2018,15-64,EMCDDA,I,,"Heroin, methadone"
,,Malta,0.318,0.297,0.348,,,2019,15-64,EMCDDA,I,,Problem opioid users:Daily opioid users
,,Malta,0.451,0.422,0.489,,,2017,15-64,EMCDDA,I,,Problem opioid users:Daily opioid users
,,Slovakia,0.13037154026525022,,,,,2018,15-64,ARQ,I,,Problem opioid users. Injecting users or long-term regular users of opioids
,,Slovakia,0.3,,,0.5,0,2015,15-64,ARQ,HHS,,
,,Slovakia,0.3,,,,,2006,15-64,ARQ ,HHS ,,
,,Slovenia,0.219,0.203,0.237,,,2019,15-64,EMCDDA,I,,"Problem opioid users: Heroin, methadone, buprenorhine, other opioids"
,,Slovenia,0.338,,,,,2018,15-64,ARQ,I,,Problem opioid users. Users of low-threshold programs and Core National Drug Treatment Database and OST prison population
,,Slovenia,0.354,,,,,2016,15-64,ARQ,I,,Problem opioid users
,,Slovenia,0.37,,,,,2015,15-64,ARQ,I,,Problem opioid users
,,Slovenia,0.37,0.34,0.41,,,2013,15-64,EMCDDA,I,,Problem opioid users
,,Spain,0.1,0,0.1,0.1,0,2017,15-64,ARQ/Government source,HHS,,
,,Spain,0.1,,,0.2,0,2015,15-64,ARQ,HHS,,
,,Sweden,0.2,,,,,2017,17-64,ARQ,HHS,,Opioids
,,Sweden,0.53,,,0.59,0.46,2013,17-64,ARQ,HHS,,Opioids
,,Sweden,0.23,0.19,0.28,,,2007,15-64,ARQ,I,,Opioids
Oceania,Australia and New Zealand,Australia,3.7,3.4,4,3.8,3.6,2016,14+,Government source,HHS,,"Includes heroin, pharmaceutical opioids, methadone and buprenorphine"
,,Australia,3.3,,,3.3,3.2,2013,14+,UNODC Estimate,HHS,x,Includes prescription/other opioids
,,Australia,3.4,3.1,3.7,,,2010,15-64,Government source,HHS,"a,x",
,,New Zealand,1.1,0.8,1.4,1.5,1,2008,16-64,Government source,HHS,x,Prescription opioids and/or opiates
,,New Zealand,0.42,,,,,2006,15-45,ARQ ,,,
"Except where the prevalence values are taken from household surveys, changes between years need to be interpreted with caution as they might reflect a change in the methodology or the data source from which the estimate was derived and therefore should not be considered as a change in prevalence.
Opioids include prescription opioids, opiates (opiates include opium and heroin). Includes estimates for the countries for which a total Opioid prevalence was reported or available.

Method: HHS=Household survey, SS=School survey, A=Adjusted from other sources, I=Indirect estimates, R=Registry. 

Note: According to the Government of Canada, while prescription opioid use in Canada is reportable (see Table on Prescription opioids), other opioid use was not reportable in 2011, 2012 and 2013; data on heroin and opium use based on the household survey is not reportable and the Government of Canada does not report an estimate based on indirect methods.

UNODC Adjustments: a=adjusted for age (15-64), b=population-based/household-type study/survey, c=adjusted from a limited geographic population-based study/survey, d=adjusted from school/youth survey, e=adjusted from lifetime/monthly prevalence adjusted to annual prevalence, f=adjusted from specialized population surveys (including Rapid Assessments), g=adjusted from treatment data, h=adjusted from drug registries, i=adjusted from HIV, problematic drug users (only for heroin), j=lifetime prevalence reported, x=figure may include non-medical use of prescription opioids, z=figures may also include other non-ATS stimulants, z*= figures include the use of prescription stimulants (non-prescription/non-therapeutic use).   

The 'Method' and 'Adjustment/notes' columns have been completed only for more recent data included in previous and present issues of the World Drug Report. ",,,,,,,,,,,,,
