CANNABIS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Trinidad and Tobago,3.7,,,,,2002,,UNODC Estimate ,,e ,
,Central America,Belize,8.45,,,,,2005,12-65,CICAD,HHS,,
,,Costa Rica,5.18,,,7.84,2.49,2015,15-64,ARQ,HHS,,
,,Costa Rica,2.76,,,4.4,1.07,2010,15-64,ARQ,HHS,,
,,Costa Rica,1.02,,,,,2006,12-70,ARQ ,HHS ,,
,,El Salvador,2.03,1.12,3.67,3.93,0.62,2014,12-65,Government source,HHS,,
,,El Salvador,0.39,0.35,0.43,,,2005,12-65,CICAD,HHS,,
,,Guatemala,3.48,0.438,6.521,,,2014,15-64,Government source/UNODC Estimate,SS,d,
,,Guatemala,4.8,,,,,2005,12-65,UNODC Estimate,"HHS, SS","c, d",
,,Honduras,0.83,0.41,1.59,,,2005,12-65,UNODC Estimate,SS,"d, e",
,,Honduras,1.5,,,,,2004,15-64,UNODC Estimate ,SS ,"d, e ",
,,Nicaragua,1.07,1.06,1.07,,,2006,12-65,UNODC Estimate,HHS,c,
,,Nicaragua,2.2,,,,,2002,12-65,UNODC Estimate,HHS ,,
,,Panama,0.77,,,1.52,0.14,2015,12-65,ARQ,HHS,,Urban areas. Cannabis herb.
,,Panama,3.55,3.4,3.7,,,2003,12-65,UNODC Estimate,HHS,"d, e",
,North America,Bermuda,10.9,10.7,11.2,,,2009,16-65,Government source,HHS,,
,,Canada,20.7,19.4,22,22.8,18.6,2019,15+,ARQ/Government source,HHS,,
,,Canada,14.8,,,18.7,11.1,2017,15+,ARQ,HHS,,
,,Canada,14.73,,,17.64,11.83,2015,15-64,ARQ,HHS,,
,,Canada,12.7,,,16.4,9,2013,15-64,ARQ,HHS,,
,,Canada,12.2,,,15.9,8.5,2012,15-64,ARQ,HHS,,
,,Canada,10.9,,,,,2011,15-64,ARQ,HHS,,
,,Canada,12.65,,,,,2010,15-64,ARQ ,HHS ,,
,,Mexico,2.1,1.9,2.3,3.5,0.9,2016,12-65,ARQ/Government,HHS,,Cannabis herb
,,Mexico,1.2,0.96,1.46,2.2,0.3,2011,12-65,Government Source,HHS,,
,,Mexico,1,,,,,2008,12-65,Government source,HHS,,
,,United States of America,21.9,,,23.8,20.1,2020,15-64,ARQ,HHS,,
,,United States of America,19.4,,,22.2,16.8,2018,15-64,ARQ,HHS,,Cannabis herb
,,United States of America,18.4,,,21.4,15.5,2017,15-64,ARQ,HHS,,Cannabis herb
,,United States of America,17,,,19.9,14.1,2016,15-64,ARQ,HHS,,Cannabis herb
,,United States of America,16.5,,,19.4,13.6,2015,15-64,ARQ,HHS,,Cannabis herb
,,United States of America,16.2,,,19.9,12.7,2014,15-64,ARQ,HHS,,
,,United States of America,15.4,,,18.7,12.2,2013,15-64,ARQ,HHS,,
,,United States of America,14.8,,,,,2012,15-64,ARQ,HHS,,
,,United States of America,14,,,,,2011,15-64,ARQ,HHS,,
,,United States of America,14,,,,,2010,15-64,ARQ,HHS ,,
,South America,Argentina,8.13,,,11.1,5.46,2017,15-64,ARQ,HHS,,Cannabis herb
,,Argentina,3.2,,,4.7,1.7,2011,15-64,ARQ,HHS,,
,,Argentina,3.7,,,,,2008,15-64,ARQ,HHS ,,
,,Bolivia (Plurinational State of),2.19,,,3.29,1.24,2018,15-64,ARQ,HHS,,Marihuana (cannabis herb)
,,Bolivia (Plurinational State of),1.42,1.27,1.57,2.1100000000000003,0.8600000000000001,2014,12-65,ARQ/UNODC Estimate,HHS,,Cannabis herb and resin
,,Bolivia (Plurinational State of),1.27,,,1.86,0.81,2013,12-65,ARQ,HHS,,
,,Bolivia (Plurinational State of),4.5,,,8.9,1.1,2007,12-65,ARQ,HHS,,
,,Brazil,2.81,,,5.1,0.66,2012,15-64,Government source,HHS,,
,,Brazil,2.6,,,,,2005,12-65,Government source ,HHS,c,
,,Chile,12.05,,,17.05,7.17,2020,15-64,ARQ,HHS,,Includes marijuana and hashish
,,Chile,13.33,,,18.98,7.76,2018,15-64,ARQ,HHS,,Includes marijuana and hashish
,,Chile,15.1,,,19.11,11.07,2016,15-64,ARQ,HHS,,Cannabis herb and resin
,,Chile,11.83,,,15.37,8.38,2014,15-64,ARQ,HHS,,
,,Chile,7.47,,,10.52,4.52,2012,15-64,ARQ,HHS,,
,,Chile,4.88,,,,,2010,15-64,ARQ,,,
,,Chile,6.7,,,,,2008,15-64,ARQ ,HHS ,,
,,Colombia,2.68,2.46,2.9,4.21,1.26,2019,12-65,Government source,HHS,,
,,Colombia,3.27,2.94,3.6,5.36,1.3,2013,12-65,ARQ,HHS,,
,,Colombia,2.27,1.93,2.61,3.79,0.93,2008,12-65,ARQ,,,
,,Colombia,1.9,,,,,2003,18-65 ,ARQ ,,,
,,Ecuador,0.67,,,0.84,0.53,2013,12-65,ARQ,HHS,,Cannabis herb
,,Ecuador,0.7,,,,,2007,12-65,ARQ,HHS,,
,,Guyana,4.6,,,,,2016,12-65,Government source,HHS,,
,,Guyana,4.04,1.56,6.53,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Guyana,3.5,0.97,5.95,,,2008,15-64,UNODC Estimate,,,
,,Guyana,2.6,,,,,2002,,UNODC Estimate ,,,
,,Paraguay,1.6,,,,,2005,12-65,UNODC Estimate,,,
,,Peru,1.624,1.241,2.006,,,2017,15-64,Government source/UNODC Estimate,SS,"d, e",
,,Peru,1.03,,,1.98,0.22,2010,12-65,ARQ,HHS,,
,,Peru,0.7,,,,,2006,15-64,Government source,HHS,,
,,Suriname,3.4,,,6.6,0.4,2013,12-65,ARQ,HHS,,Herb
,,Suriname,4.25,3.8,4.7,,,2007,12-65,Government source,HHS,,
,,Suriname,2,,,,,2002,15-64,UNODC Estimate ,,,
,,Uruguay,14.6,,,17.8,11.5,2018,15-65,ARQ,HHS,,Cannabis herb
,,Uruguay,9.3,,,12.5,6.4,2014,15-65,ARQ,HHS,,Cannabis herb
,,Uruguay,8.3,,,11.5,5.4,2011,15-64,ARQ,HHS,,
,,Uruguay,5.6,,,,,2006,15-64,ARQ ,HHS ,,
,,Venezuela (Bolivarian Republic of),1.56,,,,,2011,12-65,Government source,HHS,,
,,Venezuela (Bolivarian Republic of),0.85,,,,,2005,15-64,Government source ,HHS ,"a, e ",
Asia,Central Asia and Transcaucasia,Armenia,3.5,,,,,2003,15-64,UNODC Estimate,,,
,,Azerbaijan,3.5,,,,,2004,15-65,UNODC Estimate,,,
,,Georgia,3.4,,,6.6,0.5,2015,18-64,ARQ,HHS,,
,,Georgia,2.7,1.2,4.3,,,2009,15-64,Government source/ NGO/Academic research,SS,"b, d, e",
,,Georgia,1.1,,,,,2005,15-64,ARQ ,SS ,"a, d, e ",
,,Kazakhstan,2.4,0.6,4.3,,,2012,15-64,ARQ,SS,d,
,,Kazakhstan,4.2,,,,,2003,15-64,INCSR,,,
,,Uzbekistan,4.2,,,,,2003,15-64,UNODC Estimate,,e,
,East and South-East Asia,Cambodia,3.5,,,,,2003,15-64,UNODC Estimate,,,
,,"China, Taiwan Province of China",0.3,,,,,2005,12-64,AMCEWG,,,
,,Indonesia,1.44,1.41,1.46,,,2019,15-64,ARQ/UNODC Estimate,HHS,,Cannabis herb and resin
,,Indonesia,0.91,,,,,2015,10-59,Government source,HHS,,Estimate for 13 provinces
,,Indonesia,0.18,,,0.33,0.04,2015,10-60,ARQ,HHS,,20 of 34 provinces.
,,Indonesia,0.5,,,,,2010,10-60,ARQ,HHS,a,
,,Indonesia,0.44,,,,,2008,10-59,ARQ ,HHS ,,
,,Japan,0.1,,,,,2019,15-64,ARQ,HHS,,
,,Japan,0.03,,,,,2017,15-64,ARQ,HHS,,
,,Japan,0.3,,,,,2011,15-64,UNODC Estimate,HHS,e,
,,Lao People's Democratic Republic,0.88,0.69,1.07,,,2008,15-64,UNODC report,SS,"c, d",
,,Malaysia,1.6,,,,,2003,15-64,UNODC Estimate,,,
,,Myanmar,0.94,,,,,2005,15-64,UNODC Estimate,,"d, e",
,,Philippines,1.64,,,,,2016,10-69,ARQ,HHS,,Cannabis herb. Data for 2015/16.
,,Philippines,0.61,,,,,2012,10-69,ARQ,HHS,,
,,Philippines,0.74,,,,,2008,10-64,ARQ,HHS,,
,,Republic of Korea,0.29,0.07,0.55,,,2004,15-64,ARQ,HHS,"c, e",
,,Thailand,1.33,,,1.81,0.861,2019,12-65,Government source,HHS,,
,,Thailand,1.2,,,,,2007,12-65,ARQ,HHS,,
,Near and Middle East/South-West Asia,Afghanistan,3.8,,,6.1,1.5,2015,15+,INL,HHS,,
,,Afghanistan,4.28,3.37,5.18,8.1,0.2,2009,15-64,UNODC/ Govt. Source,HHS,,
,,Afghanistan,3.59,,,,,2005,15-64,UNODC Study (ICMP) ,,,
,,Iran (Islamic Republic of),0.58,,,,,2015,15-64,Government source/UNODC Estimate,HHS,,"Grass, hashish, marijuana and Gol"
,,Iran (Islamic Republic of),0.61,0.54,0.7,,,2013,18+,Academic/UNODC Estimate,NSUM,a,Hashish
,,Iran (Islamic Republic of),0.17,,,,,2011,15-64,Government source,,,Cannabis resin
,,Israel,14,,,15.3,12.3,2020,18-86,ARQ,HHS,,
,,Israel,27,,,32.2,21.8,2016,18-65,ARQ,HHS,,
,,Israel,8.88,8.9,8.9,12.3,5.5,2009,18-40,ARQ,HHS,,
,,Israel,8.5,,,,,2005,18-40,ARQ ,,,
,,Kuwait,3.1,,,,,2005,15-64,UNODC Estimate,,,
,,Lebanon,2,0.5,3.5,,,2009,15-64,Government source/MEDSPAD,SS,"d, e",
,,Lebanon,6.4,,,,,2001,15-64,ARQ ,,d ,
,,Pakistan,3.6,3.1,4,6.7,0.2,2012,15-64,Government/UNODC,,,
,,Pakistan,3.9,,,,,2000,15-64,INCSR ,,,
,,Saudi Arabia,0.3,,,,,2006,15-64,Government source/ NGO/Academic research,R,,
,,United Arab Emirates,5.35,,,,,2006,15-64,UNODC Estimate,,,
,South Asia,Bangladesh,3.3,,,,,2004,15-54,Academic research,HHS,"a, e,f",
,,Bhutan,4.2,1.8,6.5,,,2009,15-64,UNODC Estimate,,,
,,India,2.83,,,5.05,0.6,2018,10-75,Government source,HHS,,"Herb, resin and leaf"
,,Maldives,2.55,,,,,2012,15-64,Government source,,,
,,Nepal,0.709,,,,,2019,15-50,Government source/UNODC Estimate,HHS,e,
,,Sri Lanka,1.9,,,,,2018,14+,Government source,HHS,,
,,Sri Lanka,1.42,1.26,1.58,,,2016,15-64,Government source,I,"g,h",
,,Sri Lanka,1.31,,,,,2012,15-64,ARQ,HHS,,
,,Sri Lanka,1.43,1.43,1.43,,,2010,15-64,UNODC Estimate,,h,
Europe,Eastern Europe,Belarus,1.07,0.9,1.3,,,2007,15-64,ESPAD,SS,"c, d, e",
,,Republic of Moldova,0.7,,,,,2010,15-64,Government source,HHS,,
,,Republic of Moldova,0.9,,,,,2008,15-64,Government source ,HHS ,,
,,Russian Federation,3.49,3.46,3.51,,,2007,15-64,ESPAD/UNODC Estimate,SS,"d, e",Approximate adjustment
,,Ukraine,2.13,1.29,2.98,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Ukraine,2.9,1.2,4.6,,,2011,15-64,UNODC Estimate,SS,d,
,,Ukraine,2.5,2.4,2.59,,,2007,15-64,ESPAD ,SS ,"d, e ",
,South-Eastern Europe,Albania,5.6,,,,,2014,15-64,,HHS,,Public health research
,,Albania,5.6,,,10.2,1,2014,15-64,ARQ,HHS,,Cannabis herb
,,Albania,1.8,,,,,2006,15-64,Government source,SS,"d, e",
,,Bosnia and Herzegovina,1.6,0.32,2.89,,,2011,15-64,ESPAD,SS,d,
,,Bosnia and Herzegovina,2.8,2.75,4.63,,,2007,15-64,ESPAD ,SS ,"c, d, e ",
,,Bulgaria,2.4,,,2.6,2.2,2020,15-64,ARQ,HHS,,
,,Bulgaria,4.2,,,5.9,2.3,2016,15-64,ARQ,HHS,,
,,Bulgaria,3.5,,,5.1,1.9,2012,15-64,ARQ,HHS,,
,,Bulgaria,2.5,,,,,2008,15-64,ARQ,HHS,,
,,Bulgaria,2.2,,,,,2007,15-64,ARQ ,HHS ,"c, d, e ",
,,Croatia,10.2,,,14.2,6.2,2019,15-64,ARQ,HHS,,
,,Croatia,7.9,,,11.5,4.3,2015,15-64,ARQ,HHS,,
,,Croatia,5,,,,,2012,15-64,EMCDDA,HHS,,
,,Croatia,5.18,5.1,5.3,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Kosovo under UNSCR 1244,1.3,,,,,2019,15-64,ESPAD/UNODC Estimate,SS,d,
,,Montenegro,4.6,,,4.9,4.3,2017,15-64,ARQ,HHS,,
,,Montenegro,1.82,1.1,2.54,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,Montenegro,1.9,0.43,3.3,,,2011,15-64,ESPAD,SS,d,
,,Montenegro,0.23,,,,,2008,15-64,ESPAD ,SS ,"d, e ",
,,North Macedonia,6.6,,,8.3,4,2017,15-64,ARQ,HHS,,
,,North Macedonia,1.13,0.68,1.58,,,2015,15-64,ESPAD/UNODC Estimate,SS,"d, e",
,,North Macedonia,0.63,0.46,2.38,,,2008,15-64,ESPAD,SS,"d, e",
,,Romania,3.5,,,4.8,2.1,2019,15-64,ARQ,HHS,,
,,Romania,3.2,,,4.3,2,2016,15-64,ARQ,HHS,,
,,Romania,2,,,2.3,1.8,2013,15-64,ARQ,HHS,,
,,Romania,0.3,,,,,2010,15-64,ARQ,HHS,,
,,Romania,0.4,,,,,2007,15-64,ARQ ,HHS ,,
,,Serbia,2,,,2.8,1.2,2018,15-64,ARQ,HHS,,
,,Serbia,1.6,,,2.5,0.6,2014,18-64,Government source,HHS,,
,,Serbia,4.07,2.75,5.39,,,2006,15-64,Government source,HHS,"a, d, e",
,,Türkiye,1.11,,,2.22,0.09,2018,15-64,ARQ,HHS,,
,,Türkiye,1.11,,,2.22,0.09,2017,15-64,EMCDDA,HHS,,
,,Türkiye,0.3,,,0.5,0.1,2011,15-64,EMCDDA,HHS,,
,,Türkiye,1.9,,,,,2003,15-64,UNODC Estimate,,,
,Western and Central Europe,Austria,6.3,5.62,7.04,,,2020,15-64,Government source,HHS,,
,,Austria,6.4,5.5,7.2,7.2,5.6,2015,15-64,Government source,HHS,,
,,Austria,3.5,,,,,2008,15-64,ARQ,HHS,,
,,Austria,7.5,,,,,2004,15-64,EMCDDA ,HHS ,,
,,Belgium,7,,,10.4,3.7,2018,15-64,ARQ,HHS,,
,,Belgium,4.6,,,6.3,2.9,2013,15-64,ARQ,HHS,,
,,Belgium,5.1,,,7.2,3.2,2008,15-64,ARQ,HHS,,
,,Belgium,5,,,6.9,3.2,2004,15-64,EMCDDA/Government source,HHS ,,
,,Cyprus,4,,,6.4,1.7,2019,15-64,ARQ,HHS,,
,,Cyprus,2.2,,,3.5,0.9,2016,15-64,ARQ,HHS,,
,,Cyprus,2.2,,,3.5,1,2012,15-64,ARQ,HHS,,
,,Cyprus,4.4,,,7.3,1.5,2009,15-64,ARQ,HHS,,
,,Cyprus,2.1,,,3.7,0.6,2006,15-65,ARQ ,,,
,,Czechia,9.4,,,14.6,4.2,2019,15-64,ARQ,HHS,,
,,Czechia,7.9,,,10,5.8,2018,15-64,ARQ,HHS,,
,,Czechia,8.9,,,11.9,5.9,2017,15-64,EMCDDA,HHS,,
,,Czechia,9.5,,,14.2,5,2016,15-64,ARQ,HHS,,
,,Czechia,9.4,,,13.4,5.3,2015,15-64,ARQ,HHS,,
,,Czechia,11.4,,,15.4,7.3,2014,15-64,ARQ,HHS,,
,,Czechia,8.9,,,13.2,5.3,2013,15-64,ARQ,HHS,,
,,Czechia,9.2,,,13.1,5.3,2012,15-64,ARQ,HHS,,
,,Czechia,9.7,,,,,2010,15-64,ARQ,HHS,,
,,Czechia,15.2,,,,,2008,15-64,Government source ,HHS ,,
,,Denmark,6.4,,,8.7,4.6,2017,16-64,ARQ,HHS,,
,,Denmark,6.9,,,9.2,5.1,2013,16-64,ARQ,HHS,,
,,Denmark,5.4,,,,,2010,16-64,ARQ,HHS,,
,,Denmark,5.5,,,,,2008,16-64,ARQ ,HHS ,,
,,Estonia,6.59,,,9.2,4.81,2018,16-64,ARQ,HHS,,
,,Estonia,6,,,8.3,3.8,2008,15-64,ARQ,HHS,,
,,Estonia,4.6,,,,,2003,15-64,ARQ ,HHS ,,
,,Finland,8.2,,,11.2,5.2,2018,15-64,ARQ,HHS,,
,,Finland,6.8,,,9.2,4.3,2014,15-64,ARQ,HHS,,
,,Finland,4.6,,,5.8,3.3,2010,15-64,ARQ,HHS,,
,,Finland,3.6,,,,,2006,15-64,ARQ ,HHS ,,
,,France,11,,,15.1,7.1,2017,18-64,EMCDDA,HHS,,
,,France,11.1,,,15.2,7.1,2016,18-64,EMCDDA,HHS,,
,,France,11.1,,,15,7.4,2014,15-64,ARQ,HHS,,
,,France,8.4,,,11.8,5.2,2010,15-64,ARQ,HHS,,
,,France,8.6,,,,,2005,15-64,ARQ ,,,
,,Germany,7.09,,,8.87,5.25,2018,18-64,ARQ,HHS,,
,,Germany,6.1,5.6,6.7,7.4,4.9,2015,18-64,ARQ/Academic,HHS,,
,,Germany,4.5,,,6,3,2012,18-64,ARQ,HHS,,
,,Germany,4.8,,,6.4,3.1,2009,18-64,ARQ,HHS,,
,,Germany,4.7,,,,,2007,18-64,Government source ,HHS ,,
,,Greece,2.8,,,4.1,1.6,2015,18-64,ARQ,HHS,,
,,Greece,1.7,,,2.5,0.9,2004,15-64,EMCDDA,,,
,,Hungary,1.3,,,2,0.6,2019,18-64,ARQ,HHS,,
,,Hungary,1.53,,,2.46,0.81,2015,18-64,ARQ,HHS,,
,,Hungary,2.3,1.7,2.9,,,2007,18-64,ARQ,HHS,,
,,Iceland,5.8,,,7.4,4.2,2017,18-64,ARQ,HHS,,
,,Iceland,6.6,,,,,2012,18-67,ARQ/Government,HHS,,
,,Iceland,3.4,1.67,5.16,,,2011,15-64,ESPAD,SS,d,
,,Iceland,3.37,3.21,3.53,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Ireland,7.1,,,9.9,4.4,2019,15-64,ARQ,HHS,,
,,Ireland,7.7,,,11.2,4.3,2015,15-64,ARQ,HHS,,Data refers to 2014-15.
,,Ireland,6,,,9.1,2.9,2011,15-64,ARQ,HHS,,
,,Ireland,6.3,,,,,2007,15-64,Government source ,HHS ,,
,,Italy,10.21,,,12.6,7.83,2017,15-64,ARQ,HHS,,
,,Italy,9.2,,,11.9,6.6,2013,15-64,ARQ,HHS,,Data refers to 2013-14
,,Italy,4,,,5.19,3,2012,15-64,ARQ,HHS,,
,,Italy,14.6,,,,,2008,15-64,Government source,HHS,,
,,Italy,11.2,,,,,2005,15-65,EMCDDA ,HHS ,,
,,Latvia,3.9,,,6.1,1.8,2020,15-64,ARQ,HHS,,
,,Latvia,4.2,,,6.9,1.7,2015,15-64,ARQ,HHS,,
,,Latvia,4,,,5.7,2.4,2011,15-64,ARQ,HHS,,
,,Latvia,4.9,,,,,2007,15-64,ARQ ,,,
,,Lithuania,2.7,,,4.6,1,2016,15-64,ARQ,HHS,,
,,Lithuania,2.3,,,3.6,1,2012,15-64,ARQ,HHS,,
,,Lithuania,5.6,,,,,2008,15-64,ARQ,HHS,,
,,Lithuania,2.2,,,,,2004,15-64,ARQ ,,,
,,Luxembourg,5.4,,,7,4,2019,15-64,ARQ,HHS,,
,,Luxembourg,4.9,,,6.6,3.5,2014,15-64,ARQ/EMCDDA,HHS,,
,,Luxembourg,5.2,3.2,7.1,,,2010,15-64,ARQ,SS,d,
,,Luxembourg,6.6,4.5,8.66,,,2006,15-64,ARQ,SS,d,
,,Luxembourg,7.6,,,,,2003,15-64,UNODC Estimate ,,,
,,Malta,0.9,,,,,2013,15-64,ARQ,HHS,,
,,Malta,3.1,1.39,4.82,,,2011,15-64,ESPAD,SS,d,
,,Malta,4.51,4.42,4.6,,,2007,15-64,ESPAD ,SS ,"d, e ",
,,Monaco,10.47,,,,,2017,18-64,ESPAD/UNODC Estimate,SS,d,
,,Netherlands,10.1,,,12.9,7.3,2020,15-64,ARQ,HHS,,
,,Netherlands,9.3,,,12.1,6.4,2019,15-64,EMCDDA,HHS,,
,,Netherlands,9.6,,,13.9,6.3,2018,15-64,EMCDDA,HHS,,
,,Netherlands,9.2,8.5,9.9,12.3,6.2,2017,15-64,EMCDDA,HHS,,
,,Netherlands,8.4,,,11,5.7,2016,15-64,EMCDDA,HHS,,
,,Netherlands,8.7,,,11.6,5.7,2015,15-64,EMCDDA,HHS,,
,,Netherlands,8,,,10.5,5.4,2014,15-64,ARQ,HHS,,
,,Netherlands,7,,,,,2009,15-64,ARQ,,,
,,Netherlands,5.4,,,,,2005,15-64,ARQ ,,,
,,Norway,4.3,,,5.8,2.8,2020,16-64,ARQ,HHS,,
,,Norway,5.1,,,7.1,3,2019,16-64,ARQ,HHS,,
,,Norway,5.4,,,7,3.7,2018,16-64,ARQ,HHS,,"Cannabis herb, resin and other types of cannabis"
,,Norway,5.3,,,7,3.4,2017,16-64,ARQ,HHS,,Includes herb and hashish
,,Norway,3.9,,,5.1,2.6,2016,16-64,ARQ,HHS,,
,,Norway,4.2,,,5.5,2.9,2015,16-64,ARQ,HHS,,
,,Norway,4.2,,,6,2.3,2014,16-64,ARQ,HHS,,
,,Norway,5.1,,,7.2,2.8,2013,16-64,ARQ,HHS,,
,,Norway,3.8,,,,,2009,15-64,ARQ,HHS,,
,,Norway,4.6,,,,,2004,15-64,ARQ ,,,
,,Poland,3.8,,,5,2.6,2019,15-64,ARQ,HHS,,Data refers to 2018-2019
,,Poland,2.4,,,3.2,1.7,2016,15-64,ARQ,HHS,,
,,Poland,4.6,,,7.8,1.7,2014,15-64,ARQ,HHS,,Data refers to 2014-2015
,,Poland,3.8,,,6,1.7,2012,15-64,ARQ,HHS,,
,,Poland,9.6,,,,,2010,15-64,ARQ,HHS,,
,,Poland,2.7,,,,,2006,15-64,ARQ ,HHS ,,
,,Portugal,5.1,,,7.3,3.1,2017,15-64,ARQ,HHS,,Data refers to 2016-2017
,,Portugal,2.7,,,4.1,1.3,2012,15-64,ARQ,HHS,,
,,Portugal,3.6,,,,,2007,15-64,ARQ,HHS,,
,,Slovakia,3.8,,,5.9,1.7,2019,15-64,ARQ,HHS,,
,,Slovakia,4.3,,,7,1.7,2015,15-64,ARQ,HHS,,
,,Slovakia,3.63,,,,,2010,15-64,EMCDDA,HHS,,
,,Slovakia,6.9,,,,,2006,15-64,ARQ,HHS,,
,,Slovenia,5.9,5.4,6.4,7.8,3.8,2018,15-64,EMCDDA,HHS,"a, b",
,,Slovenia,4.4,,,5.9,2.8,2012,15-64,ARQ,HHS,,
,,Slovenia,3.1,,,,,2007,15-64,EMCDDA,HHS,e,
,,Spain,10.5,,,14.6,6.3,2020,15-64,ARQ,HHS,,Survey conducted between February and March 2020. 
,,Spain,11,10.6,11.4,15.4,6.6,2017,15-64,EMCDDA,HHS,,
